                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                               "r26.4.1"                               "gfortran"                                 "15.2.0"                    "x86_64-linux-26.6.1"                                 "CRMATH"                               "20260609"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                       log_power_nuc_burn                           power_nuc_burn                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                     Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                      699                  1.0000000000000001E-005                 -4.9999999999999991E+000                  1.2000000000000000E+000                  3.3377687156408292E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999857650002E-001                  3.3279734655143473E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999857650002E-001                  3.3279734655143473E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.6600479692093080E+000                  2.1875199920521266E-005                 -4.6600479692093080E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.6600479692093080E+000                  2.1875199920521266E-005                 -4.6600479692099146E+000                 -1.6514653149719482E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6733105086953759E+000                  4.0106173771044462E-001                  3.7656301232896788E-001                  3.7641228486928222E+000                  0.0000000000000000E+000                  1.4610339201222423E+001                 -1.0670283330257724E-001                  6.5862673764993680E+000                  6.1296840156184818E-001                  8.5824770319108312E-001                  1.2743228965333044E+000                  7.1649999999999980E-001                  2.6947131977607081E-001                  2.3838810482634592E-003                  6.5489967737205716E-003                  2.3838810482634588E-003                  6.5489967737205725E-003                  8.5979999999999968E-001                  3.2336558373128504E-001                                        0                                        5 
                                       5                                      691                  7.4416000000000014E-005                 -4.6832750158095005E+000                  1.2000000000000000E+000                  3.3377687156408292E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999888899993E-001                  2.8945371555008880E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999888899993E-001                  2.8945371555008880E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.6599146126463964E+000                  2.1881918056548344E-005                 -4.6599146126463973E+000                 -9.8999999999999986E+001                 -2.0169009709486737E+001                 -4.6599146126463964E+000                  2.1881918056548344E-005                 -4.6599146126472153E+000                 -1.6384907581405841E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6738096333744896E+000                  4.0306613389392132E-001                  3.7656696106247811E-001                  3.7641149512258014E+000                  0.0000000000000000E+000                  1.4610339217496600E+001                 -1.0670282351821786E-001                  6.5862673829459961E+000                  6.1296840155895205E-001                  8.5824770319108312E-001                  1.2743228965333044E+000                  7.1649999999999980E-001                  2.6947131977607081E-001                  2.3838810482634592E-003                  6.5489967737205716E-003                  2.3838810482634588E-003                  6.5489967737205734E-003                  8.5979999999999968E-001                  3.2336558373128504E-001                                        0                                        5 
                                      10                                      691                  2.5958682111999997E-004                 -4.2873687855713758E+000                  1.2000000000000000E+000                  3.3377687156408292E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999888899993E-001                  2.8945403091697498E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999888899993E-001                  2.8945403091697498E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.6595346827772524E+000                  2.1901069190453743E-005                 -4.6595346827772524E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.6595346827772524E+000                  2.1901069190453743E-005                 -4.6595346827781094E+000                 -1.6364559216662055E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6740772725348627E+000                  4.0413938537298749E-001                  3.7656830848126466E-001                  3.7641122563882283E+000                  0.0000000000000000E+000                  1.4610339231217557E+001                 -1.0670281525658552E-001                  6.5862673883690919E+000                  6.1296840155651733E-001                  8.5824770319108312E-001                  1.2743228965333044E+000                  7.1649999999999980E-001                  2.6947131977607081E-001                  2.3838810482634592E-003                  6.5489967737205716E-003                  2.3838810482634588E-003                  6.5489967737205734E-003                  8.5979999999999968E-001                  3.2336558373128504E-001                                        0                                        5 
                                      15                                      691                  7.2035107872931814E-004                 -3.8914625553332525E+000                  1.2000000000000000E+000                  3.3377687156408292E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999888899993E-001                  2.8945524413853736E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999888899993E-001                  2.8945524413853736E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.6586122708764295E+000                  2.1947635003588383E-005                 -4.6586122708764295E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.6586122708764295E+000                  2.1947635003588383E-005                 -4.6586122708772848E+000                 -1.6364265890897205E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6741309501389510E+000                  4.0435494260917731E-001                  3.7656873189118384E-001                  3.7641114095683901E+000                  0.0000000000000000E+000                  1.4610339244680759E+001                 -1.0670280712387593E-001                  6.5862673936644480E+000                  6.1296840155414256E-001                  8.5824770319108312E-001                  1.2743228965333044E+000                  7.1649999999999980E-001                  2.6947131977607081E-001                  2.3838810482634592E-003                  6.5489967737205716E-003                  2.3838810482634588E-003                  6.5489967737205734E-003                  8.5979999999999968E-001                  3.2336558373128504E-001                                        0                                        5 
                                      20                                      691                  1.8668799962237366E-003                 -3.4955563250951283E+000                  1.2000000000000000E+000                  3.3377687156408292E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999888899993E-001                  2.8945961439530817E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999888899993E-001                  2.8945961439530817E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.6564367316246029E+000                  2.2057854536166193E-005                 -4.6564367316246029E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.6564367316246029E+000                  2.2057854536166193E-005                 -4.6564367316254538E+000                 -1.6364265997354451E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6741430625141041E+000                  4.0440369075865262E-001                  3.7656888121561488E-001                  3.7641111109195280E+000                  0.0000000000000000E+000                  1.4610339259198181E+001                 -1.0670279829318474E-001                  6.5862673993142229E+000                  6.1296840155161536E-001                  8.5824770319108312E-001                  1.2743228965333044E+000                  7.1649999999999980E-001                  2.6947131977607081E-001                  2.3838810482634592E-003                  6.5489967737205716E-003                  2.3838810482634588E-003                  6.5489967737205734E-003                  8.5979999999999968E-001                  3.2336558373128504E-001                                        0                                        5 
                                      25                                      691                  4.7198108322034473E-003                 -3.0996500948570040E+000                  1.2000000000000000E+000                  3.3377687156408292E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999888899993E-001                  2.8947513814160671E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999888899993E-001                  2.8947513814160671E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.6516105322296948E+000                  2.2304344676634289E-005                 -4.6516105322296948E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.6516105322296948E+000                  2.2304344676634289E-005                 -4.6516105322305368E+000                 -1.6364266193855091E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6741455857862806E+000                  4.0441388987539417E-001                  3.7656893422963306E-001                  3.7641110048914919E+000                  0.0000000000000000E+000                  1.4610339275465554E+001                 -1.0670278825040343E-001                  6.5862674054996768E+000                  6.1296840154886423E-001                  8.5824770319108312E-001                  1.2743228965333044E+000                  7.1649999999999980E-001                  2.6947131977607081E-001                  2.3838810482634592E-003                  6.5489967737205716E-003                  2.3838810482634588E-003                  6.5489967737205734E-003                  8.5979999999999968E-001                  3.2336558373128504E-001                                        0                                        5 
                                      30                                      691                  1.1818815689988481E-002                 -2.7037438646188803E+000                  1.2000000000000000E+000                  3.3377687156408292E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999888899993E-001                  2.8953015156842718E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999888899993E-001                  2.8953015156842718E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.6422011020313834E+000                  2.2792863936892357E-005                 -4.6422011020313834E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.6422011020313834E+000                  2.2792863936892357E-005                 -4.6422011020322076E+000                 -1.6364266277082919E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6741460684276013E+000                  4.0441585980262507E-001                  3.7656895391060774E-001                  3.7641109655295422E+000                  0.0000000000000000E+000                  1.4610339294695660E+001                 -1.0670277602774243E-001                  6.5862674124662544E+000                  6.1296840154580368E-001                  8.5824770319108334E-001                  1.2743228965333040E+000                  7.1650000000000003E-001                  2.6947131977607097E-001                  2.3838810482634592E-003                  6.5489967737205742E-003                  2.3838810482634588E-003                  6.5489967737205734E-003                  8.5979999999999968E-001                  3.2336558373128504E-001                                        0                                        5 
                                      35                                      691                  2.9483411457712130E-002                 -2.3078376343807561E+000                  1.2000000000000000E+000                  3.3377687156408292E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999888899993E-001                  2.8972450091882419E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999888899993E-001                  2.8972450091882419E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.6279217567751827E+000                  2.3554736117614230E-005                 -4.6279217567751827E+000                 -9.8999999999999986E+001                 -2.0169009709486737E+001                 -4.6279217567751827E+000                  2.3554736117614230E-005                 -4.6279217567759794E+000                 -1.6364266236429884E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6741461635205068E+000                  4.0441625548527194E-001                  3.7656896156611958E-001                  3.7641109502185186E+000                  0.0000000000000000E+000                  1.4610339320014900E+001                 -1.0670275915180535E-001                  6.5862674208677898E+000                  6.1296840154220200E-001                  8.5824770319108312E-001                  1.2743228965333042E+000                  7.1650000000000003E-001                  2.6947131977607131E-001                  2.3838810482634592E-003                  6.5489967737205716E-003                  2.3838810482634588E-003                  6.5489967737205734E-003                  8.5979999999999968E-001                  3.2336558373128504E-001                                        0                                        5 
                                      40                                      691                  7.3438578398454232E-002                 -1.9119314041426323E+000                  1.2000000000000000E+000                  3.3377687156408292E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999888899993E-001                  2.9040695612529761E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999888899993E-001                  2.9040695612529761E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.6131457950118024E+000                  2.4369925694151073E-005                 -4.6131457950118024E+000                 -9.8999999999999986E+001                 -2.0169009709486737E+001                 -4.6131457950118024E+000                  2.4369925694151073E-005                 -4.6131457950125725E+000                 -1.6364266027286195E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6741461866623286E+000                  4.0441635041283247E-001                  3.7656896274625584E-001                  3.7641109478582462E+000                  0.0000000000000000E+000                  1.4610339359392061E+001                 -1.0670273135422921E-001                  6.5862674324062809E+000                  6.1296840153744914E-001                  8.5824770319108312E-001                  1.2743228965333040E+000                  7.1649999999999980E-001                  2.6947131977607208E-001                  2.3838810482634584E-003                  6.5489967737205682E-003                  2.3838810482634588E-003                  6.5489967737205734E-003                  8.5979999999999968E-001                  3.2336558373128504E-001                                        0                                        4 
