# GYRE 8.1 JCD GL6 w_osc=25 w_ctr=20 n_freq=2000 100-4500uHz ; MODE-A 2.0Msun Xc0.40
l n_pg freq_uHz
0 1 184.638199
0 2 238.599354
0 3 291.892771
0 4 345.686220
0 5 402.366981
0 6 461.862821
0 7 521.683989
0 8 581.236712
0 9 641.305539
0 10 702.524877
0 11 764.819314
0 12 827.938433
0 13 891.648401
0 14 955.557174
0 15 1019.230555
0 16 1082.208530
0 17 1144.282852
0 18 1205.648393
0 19 1266.949727
0 20 1328.940984
0 21 1391.955448
0 22 1455.880648
0 23 1520.373717
0 24 1585.036913
0 25 1649.331131
0 26 1712.753592
0 27 1777.537089
0 28 1842.044049
0 29 1906.347542
0 30 1970.583219
0 31 2034.907987
0 32 2099.418258
0 33 2164.138390
0 34 2229.026883
0 35 2293.997331
0 36 2358.943838
0 37 2423.763079
0 38 2488.368126
0 39 2552.719954
0 40 2616.833562
0 41 2680.788659
0 42 2744.713200
0 43 2808.725488
0 44 2872.893583
0 45 2937.231264
0 46 3001.701243
0 47 3066.241509
0 48 3130.795441
0 49 3195.316720
0 50 3259.781993
0 51 3324.195867
0 52 3388.590652
0 53 3453.003690
0 54 3517.468640
0 55 3582.014990
0 56 3646.653005
0 57 3711.376420
0 58 3776.170990
0 59 3841.014391
0 60 3905.890382
0 61 3970.790648
0 62 4035.706811
0 63 4100.637837
0 64 4165.590690
0 65 4230.578675
0 66 4295.617524
0 67 4360.715119
0 68 4425.877161
0 69 4491.110475
1 -2 107.505979
1 -1 183.435158
1 1 192.699616
1 2 247.629140
1 3 307.202540
1 4 367.712510
1 5 428.692230
1 6 489.623735
1 7 549.671735
1 8 609.326272
1 9 669.753108
1 10 731.285713
1 11 793.785266
1 12 857.034147
1 13 920.761391
1 14 984.539687
1 15 1047.927313
1 16 1110.534352
1 17 1172.288475
1 18 1233.630911
1 19 1295.332036
1 20 1357.979231
1 21 1421.677886
1 22 1486.176963
1 23 1551.092400
1 24 1615.975859
1 25 1679.239314
1 26 1744.455685
1 27 1809.382948
1 28 1874.032007
1 29 1938.505527
1 30 2002.952307
1 31 2067.506907
1 32 2132.221287
1 33 2197.079590
1 34 2262.012064
1 35 2326.917227
1 36 2391.692954
1 37 2456.242639
1 38 2520.508838
1 39 2584.483727
1 40 2648.221689
1 41 2711.835561
1 42 2775.463481
1 43 2839.206531
1 44 2903.114778
1 45 2967.184901
1 46 3031.372734
1 47 3095.626469
1 48 3159.901421
1 49 3224.167819
1 50 3288.419706
1 51 3352.680309
1 52 3416.990274
1 53 3481.387594
1 54 3545.906712
1 55 3610.571250
1 56 3675.381479
1 57 3740.325702
1 58 3805.381389
1 59 3870.521450
1 60 3935.727739
1 61 4000.983289
1 62 4066.272576
1 63 4131.588474
1 64 4196.929941
1 65 4262.301770
1 66 4327.705765
1 67 4393.137024
1 68 4458.593158
2 -3 122.147654
2 -2 162.747893
2 -1 195.066373
2 0 235.146916
2 1 275.260108
2 2 293.410394
2 3 335.383616
2 4 394.255975
2 5 455.426156
2 6 516.137445
2 7 576.067813
2 8 636.156452
2 9 697.234100
2 10 759.327183
2 11 822.234872
2 12 885.754711
2 13 949.530960
2 14 1013.141447
2 15 1076.131645
2 16 1138.262761
2 17 1199.671038
2 18 1260.969405
2 19 1322.934950
2 20 1385.949329
2 21 1449.932020
2 22 1514.547891
2 23 1579.397702
2 24 1643.963023
2 25 1707.501351
2 26 1772.527773
2 27 1837.273984
2 28 1901.801132
2 29 1966.237871
2 30 2030.738878
2 31 2095.403963
2 32 2160.258635
2 33 2225.261564
2 34 2290.325735
2 35 2355.343582
2 36 2420.211165
2 37 2484.839744
2 38 2549.188858
2 39 2613.271568
2 40 2677.165822
2 41 2740.999142
2 42 2804.893328
2 43 2868.920854
2 44 2933.100782
2 45 2997.401171
2 46 3061.763724
2 47 3126.135013
2 48 3190.471576
2 49 3254.752333
2 50 3318.983571
2 51 3383.200236
2 52 3447.444203
