# GYRE 8.1 JCD GL6 w_osc=25 w_ctr=20 n_freq=2000 100-4500uHz ; MODE-A 2.0Msun zams
l n_pg freq_uHz
0 1 264.308423
0 2 339.329166
0 3 408.623560
0 4 485.704167
0 5 569.943027
0 6 657.269544
0 7 745.946706
0 8 834.048210
0 9 921.123644
0 10 1008.112638
0 11 1096.014303
0 12 1185.041280
0 13 1275.019710
0 14 1365.732670
0 15 1456.892013
0 16 1548.045823
0 17 1638.687440
0 18 1728.316262
0 19 1816.593309
0 20 1903.729762
0 21 1990.583764
0 22 2078.218448
0 23 2167.169402
0 24 2257.308296
0 25 2347.992012
0 26 2437.708800
0 27 2530.063769
0 28 2622.169309
0 29 2713.873078
0 30 2805.108385
0 31 2895.903620
0 32 2986.428886
0 33 3076.921974
0 34 3167.612187
0 35 3258.608863
0 36 3349.892412
0 37 3441.362364
0 38 3532.879169
0 39 3624.295725
0 40 3715.507647
0 41 3806.457098
0 42 3897.164480
0 43 3987.727853
0 44 4078.287643
0 45 4168.986830
0 46 4259.924330
0 47 4351.128136
0 48 4442.565297
1 -1 131.363803
1 1 272.425681
1 2 358.287453
1 3 442.674259
1 4 527.970252
1 5 614.475675
1 6 702.412610
1 7 790.124950
1 8 876.909348
1 9 963.123257
1 10 1049.935332
1 11 1137.918535
1 12 1227.053899
1 13 1317.105353
1 14 1407.842221
1 15 1498.867783
1 16 1589.752789
1 17 1679.908589
1 18 1768.877640
1 19 1856.549178
1 20 1943.418498
1 21 2030.523251
1 22 2118.750384
1 23 2208.321947
1 24 2298.858716
1 25 2389.299382
1 26 2480.141528
1 27 2572.465298
1 28 2664.456780
1 29 2756.006749
1 30 2847.087133
1 31 2937.791660
1 32 3028.331875
1 33 3118.954456
1 34 3209.843091
1 35 3301.040681
1 36 3392.482851
1 37 3484.047041
1 38 3575.583611
1 39 3666.962399
1 40 3758.101215
1 41 3848.974111
1 42 3939.643036
1 43 4030.230477
1 44 4120.884491
1 45 4211.732869
1 46 4302.842358
1 47 4394.210060
1 48 4485.778468
2 -3 110.567801
2 -2 143.264260
2 -1 199.324399
2 0 268.534073
2 1 324.858359
2 2 392.646149
2 3 475.236783
2 4 561.837028
2 5 649.668848
2 6 738.296520
2 7 826.107424
2 8 912.778374
2 9 999.237223
2 10 1086.573293
2 11 1175.077932
2 12 1264.616616
2 13 1354.974887
2 14 1445.886085
2 15 1536.898083
2 16 1627.533640
2 17 1717.260849
2 18 1805.689253
2 19 1892.950185
2 20 1979.822474
2 21 2067.382802
2 22 2156.251034
2 23 2246.372513
2 24 2337.163154
2 25 2426.792172
2 26 2519.303044
2 27 2611.595923
2 28 2703.502508
2 29 2794.945029
2 30 2885.937477
2 31 2976.636343
2 32 3067.276153
2 33 3158.093599
2 34 3249.213696
2 35 3340.627207
2 36 3432.238182
2 37 3523.908416
2 38 3615.487517
2 39 3706.865416
2 40 3797.978971
2 41 3888.840154
2 42 3979.542226
2 43 4070.224157
2 44 4161.031686
2 45 4252.069889
2 46 4343.373248
2 47 4434.913408
3 -5 101.817723
3 -4 120.475281
3 -3 146.829635
3 -2 185.861647
3 -1 241.192799
3 0 282.678388
3 1 344.857267
3 2 422.151881
3 3 506.178620
3 4 593.248941
3 5 681.741532
3 6 770.264923
3 7 857.786730
3 8 944.385546
3 9 1031.238081
3 10 1119.147300
3 11 1208.205991
3 12 1298.208524
3 13 1388.944831
3 14 1480.074032
3 15 1571.156128
3 16 1661.622246
3 17 1750.998275
3 18 1839.055544
3 19 1926.157141
3 20 2013.284052
3 21 2101.425927
3 22 2190.939830
3 23 2281.543239
3 24 2372.398089
3 25 2462.939043
3 26 2555.529818
3 27 2647.820450
3 28 2739.683465
3 29 2831.073300
3 30 2922.056410
3 31 3012.832576
3 32 3103.648845
3 33 3194.710121
3 34 3286.082720
3 35 3377.716197
3 36 3469.493379
3 37 3561.265522
3 38 3652.893905
3 39 3744.288032
3 40 3835.409552
3 41 3926.307888
3 42 4017.099401
3 43 4107.931982
3 44 4198.940198
3 45 4290.201525
3 46 4381.721712
3 47 4473.449698
