# GYRE 8.1 JCD GL6 w_osc=25 w_ctr=20 n_freq=2000 100-4500uHz ; MODE-A 2.0Msun Xc0.60
l n_pg freq_uHz
0 1 212.834637
0 2 274.778811
0 3 333.867853
0 4 395.032379
0 5 461.068177
0 6 530.467041
0 7 600.493268
0 8 670.004556
0 9 739.343900
0 10 809.539906
0 11 880.859696
0 12 953.138416
0 13 1026.140424
0 14 1099.584091
0 15 1173.029630
0 16 1246.018299
0 17 1318.096001
0 18 1389.077336
0 19 1459.336080
0 20 1529.713478
0 21 1600.997893
0 22 1673.449617
0 23 1746.860956
0 24 1820.799545
0 25 1894.650480
0 26 1967.364604
0 27 2041.901445
0 28 2116.129627
0 29 2190.029853
0 30 2263.691316
0 31 2337.282040
0 32 2410.990296
0 33 2484.928595
0 34 2559.112773
0 35 2633.480780
0 36 2707.921291
0 37 2782.308535
0 38 2856.532398
0 39 2930.504853
0 40 3004.205090
0 41 3077.678737
0 42 3151.035004
0 43 3224.410182
0 44 3297.920294
0 45 3371.620496
0 46 3445.497654
0 47 3519.494167
0 48 3593.537782
0 49 3667.553097
0 50 3741.480639
0 51 3815.293248
0 52 3888.996972
0 53 3962.620253
0 54 4036.214477
0 55 4109.841836
0 56 4183.550088
0 57 4257.369372
0 58 4331.315219
0 59 4405.382166
0 60 4479.557090
1 -2 108.579511
1 -1 158.591828
1 1 218.801245
1 2 286.254182
1 3 354.734275
1 4 424.048355
1 5 493.994845
1 6 564.584844
1 7 634.381696
1 8 703.378192
1 9 772.690806
1 10 843.095288
1 11 914.614496
1 12 987.029111
1 13 1060.123747
1 14 1133.527031
1 15 1206.792976
1 16 1279.403109
1 17 1351.025896
1 18 1421.696133
1 19 1492.010539
1 20 1562.883287
1 21 1634.884847
1 22 1708.023304
1 23 1781.935999
1 24 1856.118406
1 25 1929.503403
1 26 2003.301198
1 27 2077.819655
1 28 2151.975979
1 29 2225.799072
1 30 2299.423180
1 31 2373.029375
1 32 2446.781417
1 33 2520.742431
1 34 2594.891199
1 35 2669.141858
1 36 2743.377582
1 37 2817.487589
1 38 2891.376617
1 39 2964.993161
1 40 3038.356351
1 41 3111.549329
1 42 3184.705407
1 43 3257.963323
1 44 3331.419918
1 45 3405.104115
1 46 3478.982663
1 47 3552.993477
1 48 3627.062776
1 49 3701.120420
1 50 3775.117857
1 51 3849.041593
1 52 3922.903720
1 53 3996.737839
1 54 4070.596633
1 55 4144.530968
1 56 4218.570455
1 57 4292.730289
1 58 4367.005843
1 59 4441.376046
2 -3 126.128109
2 -2 170.343008
2 -1 213.832551
2 0 235.257760
2 1 271.919525
2 2 320.596674
2 3 384.103840
2 4 453.122145
2 5 523.866122
2 6 594.491224
2 7 664.171900
2 8 733.371839
2 9 803.261431
2 10 874.236148
2 11 946.189658
2 12 1018.906204
2 13 1092.137117
2 14 1165.459361
2 15 1238.427101
2 16 1310.559145
2 17 1381.633968
2 18 1451.960775
2 19 1522.336472
2 20 1593.586388
2 21 1666.031393
2 22 1739.498928
2 23 1813.560097
2 24 1887.622310
2 25 1960.386078
2 26 2035.114668
2 27 2109.530277
2 28 2183.602598
2 29 2257.409077
2 30 2331.112634
2 31 2404.900950
2 32 2478.894301
2 33 2553.114325
2 34 2627.503779
2 35 2701.953949
2 36 2776.339399
2 37 2850.550598
2 38 2924.498351
2 39 2998.158530
2 40 3071.574244
2 41 3144.852979
2 42 3218.133192
2 43 3291.537551
2 44 3365.130705
2 45 3438.909191
2 46 3512.822206
2 47 3586.802958
2 48 3660.779755
2 49 3734.694641
2 50 3808.519766
2 51 3882.260737
2 52 3955.945003
2 53 4029.622219
2 54 4103.353894
2 55 4177.188044
2 56 4251.153143
2 57 4325.262696
2 58 4399.508108
2 59 4473.871178
3 -5 109.011042
3 -4 132.358366
3 -3 165.847322
3 -2 203.545340
3 -1 237.685757
3 0 271.703440
3 1 285.765542
3 2 340.965407
3 3 408.288526
3 4 478.307396
3 5 549.605558
3 6 620.145317
3 7 689.687915
3 8 759.207866
3 9 829.675041
3 10 901.220622
3 11 973.660067
3 12 1046.788783
3 13 1120.280502
3 14 1193.693056
3 15 1266.532299
3 16 1338.418720
3 17 1409.285137
3 18 1479.648861
3 19 1550.422871
3 20 1622.272058
3 21 1695.292930
3 22 1769.170145
3 23 1843.424310
3 24 1917.240170
3 25 1990.685341
3 26 2065.366065
3 27 2139.702487
3 28 2213.704380
3 29 2287.492157
3 30 2361.244537
3 31 2435.138686
3 32 2509.253812
3 33 2583.579926
3 34 2658.036490
3 35 2732.505745
3 36 2806.869648
3 37 2881.026065
3 38 2954.909510
3 39 3028.526509
3 40 3101.948549
3 41 3175.302899
3 42 3248.728418
3 43 3322.327473
3 44 3396.135265
3 45 3470.122211
3 46 3544.226081
3 47 3618.372687
3 48 3692.489967
3 49 3766.526453
3 50 3840.465970
3 51 3914.320135
3 52 3988.122290
3 53 4061.926413
3 54 4135.788234
3 55 4209.743342
3 56 4283.812583
3 57 4357.998548
3 58 4432.285972
