# GYRE 8.1 JCD GL6 w_osc=25 w_ctr=20 n_freq=2000 100-4500uHz ; MODE-A 2.0Msun Xc0.20
l n_pg freq_uHz
0 1 135.663232
0 2 175.100795
0 3 216.537303
0 4 258.143402
0 5 300.233873
0 6 342.742132
0 7 385.405128
0 8 428.770816
0 9 473.403168
0 10 519.148870
0 11 565.750466
0 12 612.952210
0 13 660.364442
0 14 707.613256
0 15 754.389110
0 16 800.654894
0 17 846.669061
0 18 892.904614
0 19 939.770962
0 20 987.370199
0 21 1035.539122
0 22 1084.030093
0 23 1132.614206
0 24 1181.083927
0 25 1229.041020
0 26 1276.607501
0 27 1324.935967
0 28 1373.140356
0 29 1421.315712
0 30 1469.534192
0 31 1517.842723
0 32 1566.245261
0 33 1614.715940
0 34 1663.207702
0 35 1711.656049
0 36 1759.998694
0 37 1808.169590
0 38 1856.122237
0 39 1903.842232
0 40 1951.355420
0 41 1998.723856
0 42 2046.035472
0 43 2093.378312
0 44 2140.811737
0 45 2188.365165
0 46 2236.044662
0 47 2283.839811
0 48 2331.744298
0 49 2379.759772
0 50 2427.893264
0 51 2476.153980
0 52 2524.551680
0 53 2573.090286
0 54 2621.760674
0 55 2670.549380
0 56 2719.440236
0 57 2768.410694
0 58 2817.439457
0 59 2866.507519
0 60 2915.598260
0 61 2964.700878
0 62 3013.807266
0 63 3062.913944
0 64 3112.021396
0 65 3161.128315
0 66 3210.234563
0 67 3259.341295
0 68 3308.446401
0 69 3357.542685
0 70 3406.619339
0 71 3455.668865
0 72 3504.685205
0 73 3553.658325
0 74 3602.580757
0 75 3651.449709
0 76 3700.263214
0 77 3749.020214
0 78 3797.722985
0 79 3846.375383
0 80 3894.977977
0 81 3943.531611
0 82 3992.039483
0 83 4040.500469
0 84 4088.912307
0 85 4137.275499
0 86 4185.588110
0 87 4233.850722
0 88 4282.069374
0 89 4330.249520
0 90 4378.398364
0 91 4426.531467
0 92 4474.666220
1 -2 102.989558
1 -1 138.976733
1 1 179.745963
1 2 216.903495
1 3 231.737019
1 4 271.728663
1 5 316.422428
1 6 360.403935
1 7 403.995456
1 8 448.303556
1 9 493.624352
1 10 539.800213
1 11 586.639100
1 12 633.883872
1 13 681.161548
1 14 728.131622
1 15 774.600889
1 16 820.652977
1 17 866.678618
1 18 913.172855
1 19 960.406031
1 20 1008.354861
1 21 1056.810123
1 22 1105.527950
1 23 1154.291243
