# GYRE 8.1 JCD GL6 w_osc=25 w_ctr=20 n_freq=2000 100-4500uHz ; MODE-A 2.0Msun midMS
l n_pg freq_uHz
0 1 248.283067
0 2 319.453751
0 3 385.441953
0 4 457.218183
0 5 535.726891
0 6 617.489614
0 7 700.381156
0 8 782.676326
0 9 864.133804
0 10 945.820297
0 11 1028.534423
0 12 1112.344876
0 13 1197.033035
0 14 1282.384172
0 15 1368.052042
0 16 1453.595709
0 17 1538.465367
0 18 1622.230353
0 19 1704.738716
0 20 1786.432575
0 21 1868.296126
0 22 1951.209633
0 23 2035.427487
0 24 2120.649141
0 25 2206.219592
0 26 2290.674081
0 27 2377.521392
0 28 2464.067527
0 29 2550.215705
0 30 2635.939420
0 31 2721.327980
0 32 2806.578254
0 33 2891.917806
0 34 2977.509215
0 35 3063.386074
0 36 3149.482695
0 37 3235.679797
0 38 3321.834165
0 39 3407.821192
0 40 3493.556661
0 41 3579.015087
0 42 3664.256064
0 43 3749.399566
0 44 3834.588103
0 45 3919.948942
0 46 4005.547980
0 47 4091.377222
0 48 4177.382908
0 49 4263.481042
0 50 4349.581503
0 51 4435.613017
1 -1 133.121032
1 1 255.613277
1 2 335.720832
1 3 415.179378
1 4 495.498744
1 5 576.815178
1 6 659.393527
1 7 741.523464
1 8 822.699335
1 9 903.550635
1 10 985.211382
1 11 1068.061251
1 12 1151.992292
1 13 1236.770627
1 14 1322.140616
1 15 1407.663656
1 16 1492.889766
1 17 1577.268863
1 18 1660.424011
1 19 1742.473750
1 20 1824.144892
1 21 1906.461137
1 22 1990.027647
1 23 2074.816811
1 24 2160.354275
1 25 2245.607799
1 26 2331.061916
1 27 2417.817968
1 28 2504.208742
1 29 2590.166940
1 30 2675.713346
1 31 2761.001208
1 32 2846.249321
1 33 2931.672405
1 34 3017.374802
1 35 3103.341577
1 36 3189.478657
1 37 3275.655802
1 38 3361.734467
1 39 3447.611768
1 40 3533.227489
1 41 3618.598254
1 42 3703.816732
1 43 3789.019178
1 44 3874.345625
1 45 3959.900004
1 46 4045.708938
1 47 4131.737950
1 48 4217.913397
1 49 4304.141058
1 50 4390.332788
1 51 4476.425307
2 -3 119.238941
2 -2 147.560998
2 -1 196.768200
2 0 254.442307
2 1 307.955691
2 2 369.901482
2 3 446.661459
2 4 527.838651
2 5 610.362040
2 6 693.409461
2 7 775.559334
2 8 856.692479
2 9 937.907679
2 10 1020.119517
2 11 1103.467203
2 12 1187.762707
2 13 1272.800238
2 14 1358.260690
2 15 1443.696615
2 16 1528.578743
2 17 1612.450481
2 18 1695.086525
2 19 1776.851227
2 20 1858.686710
2 21 1941.521248
2 22 2025.680953
2 23 2110.913796
2 24 2196.604696
2 25 2281.002769
2 26 2367.993124
2 27 2454.698889
2 28 2541.011155
2 29 2626.892021
2 30 2712.414985
2 31 2797.770936
2 32 2883.187935
2 33 2968.841351
2 34 3054.777691
2 35 3140.939897
2 36 3227.212554
2 37 3313.454150
2 38 3399.537022
2 39 3485.374141
2 40 3570.933713
2 41 3656.269600
2 42 3741.499277
2 43 3826.766595
2 44 3912.203410
2 45 3997.883889
2 46 4083.805692
2 47 4169.918063
2 48 4256.137773
2 49 4342.372655
2 50 4428.547382
3 -5 110.824709
3 -4 131.595823
3 -3 155.313163
3 -2 186.490356
3 -1 232.380846
3 0 270.685078
3 1 324.654804
3 2 396.794557
3 3 475.625394
3 4 557.368174
3 5 640.549027
3 6 723.470578
3 7 805.340553
3 8 886.512691
3 9 968.204263
3 10 1051.001918
3 11 1134.885358
3 12 1219.632762
3 13 1305.022642
3 14 1390.656746
3 15 1476.099295
3 16 1560.777988
3 17 1644.288070
3 18 1726.628993
3 19 1808.407140
3 20 1890.653965
3 21 1974.104337
3 22 2058.843949
3 23 2144.458456
3 24 2230.118120
3 25 2315.301995
3 26 2402.310023
3 27 2488.975055
3 28 2575.217670
3 29 2661.038767
3 30 2746.569680
3 31 2832.023546
3 32 2917.624341
3 33 3003.498319
3 34 3089.645870
3 35 3175.979947
3 36 3262.371931
3 37 3348.678560
3 38 3434.788435
3 39 3520.631881
3 40 3606.211483
3 41 3691.610644
3 42 3776.962423
3 43 3862.409376
3 44 3948.064558
3 45 4033.966509
3 46 4120.088032
3 47 4206.360936
3 48 4292.693316
3 49 4378.996037
3 50 4465.204127
