# GYRE 8.1 JCD GL6 w_osc=25 w_ctr=20 n_freq=2500 200-5500uHz ; MODE-A 1.5Msun zams
l n_pg freq_uHz
0 1 266.265817
0 2 342.900400
0 3 415.735296
0 4 491.469376
0 5 573.736561
0 6 660.228481
0 7 747.435713
0 8 834.244203
0 9 921.228254
0 10 1009.669298
0 11 1099.831630
0 12 1191.471857
0 13 1284.270280
0 14 1377.919119
0 15 1472.092324
0 16 1566.491261
0 17 1660.898571
0 18 1755.139923
0 19 1849.157874
0 20 1942.951794
0 21 2036.584308
0 22 2130.190598
0 23 2223.939302
0 24 2317.978643
0 25 2412.373368
0 26 2507.130696
0 27 2602.207351
0 28 2697.549070
0 29 2793.064009
0 30 2888.640292
0 31 2984.148864
0 32 3079.408822
0 33 3173.899864
0 34 3267.519301
0 35 3362.996959
0 36 3458.317566
0 37 3553.479772
0 38 3648.486891
0 39 3743.359558
0 40 3838.117823
0 41 3932.783869
0 42 4027.384094
0 43 4121.930574
0 44 4216.428380
0 45 4310.876966
0 46 4405.271427
0 47 4499.605731
0 48 4593.869255
0 49 4688.050714
0 50 4782.150029
0 51 4876.172648
0 52 4970.126176
0 53 5064.033517
0 54 5157.926103
0 55 5251.834957
0 56 5345.800003
0 57 5439.855248
1 1 273.173454
1 2 357.588193
1 3 443.407374
1 4 529.603503
1 5 616.706225
1 6 704.346668
1 7 791.110200
1 8 877.300161
1 9 964.325460
1 10 1053.082734
1 11 1143.530870
1 12 1235.355873
1 13 1328.273968
1 14 1421.939563
1 15 1516.062042
1 16 1610.323964
1 17 1704.545432
1 18 1798.611127
1 19 1892.467470
1 20 1986.137071
1 21 2079.715155
1 22 2173.369555
1 23 2267.247699
1 24 2361.464425
1 25 2456.048189
1 26 2550.992152
1 27 2646.236229
1 28 2741.710477
1 29 2837.311518
1 30 2932.920382
1 31 3028.391555
1 32 3123.463976
1 33 3216.372392
1 34 3311.981615
1 35 3407.434536
1 36 3502.728830
1 37 3597.863910
1 38 3692.851398
1 39 3787.713784
1 40 3882.469508
1 41 3977.144467
1 42 4071.758950
1 43 4166.319898
1 44 4260.830853
1 45 4355.287995
1 46 4449.686849
1 47 4544.019248
1 48 4638.273789
1 49 4732.443258
1 50 4826.532697
1 51 4920.547276
1 52 5014.501747
1 53 5108.425388
1 54 5202.349287
1 55 5296.308046
1 56 5390.342049
1 57 5484.476554
2 -1 223.771281
2 0 276.906950
2 1 335.230607
2 2 398.124350
2 3 478.301229
2 4 564.342160
2 5 652.397540
2 6 740.172859
2 7 827.007327
2 8 913.653419
2 9 1001.560738
2 10 1091.152227
2 11 1182.256212
2 12 1274.575054
2 13 1367.827021
2 14 1461.686010
2 15 1555.864824
2 16 1650.120090
2 17 1744.268161
2 18 1838.242895
2 19 1932.026765
2 20 2025.667222
2 21 2119.286218
2 22 2213.054393
2 23 2307.118543
2 24 2401.550796
2 25 2496.358700
2 26 2591.505396
2 27 2686.934525
2 28 2782.555874
2 29 2878.257297
2 30 2973.910642
2 31 3069.343292
2 32 3164.113689
2 33 3257.669843
2 34 3353.301107
2 35 3448.774525
2 36 3544.088164
2 37 3639.243833
2 38 3734.260831
2 39 3829.159720
2 40 3923.961687
2 41 4018.693530
2 42 4113.368489
2 43 4207.991618
2 44 4302.562999
2 45 4397.077580
2 46 4491.529639
2 47 4585.908805
2 48 4680.203540
2 49 4774.412657
2 50 4868.541867
2 51 4962.598154
2 52 5056.603462
2 53 5150.589490
2 54 5244.587369
2 55 5338.636716
2 56 5432.773052
3 -2 211.888581
3 -1 257.242646
3 0 302.428070
3 1 350.396904
3 2 425.494036
3 3 509.254500
3 4 596.248414
3 5 684.665176
3 6 772.222883
3 7 858.938131
3 8 946.055734
3 9 1034.740384
3 10 1125.082381
3 11 1216.814826
3 12 1309.662175
3 13 1403.306529
3 14 1497.453286
3 15 1591.790093
3 16 1686.134858
3 17 1780.340188
3 18 1874.348134
3 19 1968.172776
3 20 2061.894993
3 21 2155.668809
3 22 2249.647436
3 23 2343.962979
3 24 2438.656171
3 25 2533.725508
3 26 2629.111505
3 27 2724.750777
3 28 2820.541540
3 29 2916.365105
3 30 3012.080458
3 31 3107.461141
3 32 3201.433755
3 33 3296.262033
3 34 3391.950197
3 35 3487.478303
3 36 3582.844858
3 37 3678.057869
3 38 3773.139626
3 39 3868.108552
3 40 3962.989521
3 41 4057.805344
3 42 4152.564252
3 43 4247.270454
3 44 4341.920873
3 45 4436.510881
3 46 4531.032864
3 47 4625.475433
3 48 4719.829682
3 49 4814.099588
3 50 4908.290289
3 51 5002.414355
3 52 5096.499728
3 53 5190.577835
3 54 5284.682187
3 55 5378.853933
3 56 5473.120898
