# GYRE 8.1 JCD GL6 w_osc=25 w_ctr=20 n_freq=2500 200-5500uHz ; MODE-A 1.5Msun Xc0.50
l n_pg freq_uHz
0 1 224.281213
0 2 289.928149
0 3 355.131091
0 4 419.998158
0 5 488.054001
0 6 559.351093
0 7 631.295509
0 8 703.504145
0 9 776.969641
0 10 852.258381
0 11 929.150187
0 12 1007.294742
0 13 1086.404658
0 14 1166.142856
0 15 1246.233559
0 16 1326.415491
0 17 1406.541686
0 18 1486.530868
0 19 1566.330127
0 20 1645.950320
0 21 1725.474749
0 22 1805.037033
0 23 1884.761255
0 24 1964.717768
0 25 2044.940719
0 26 2125.415502
0 27 2206.111564
0 28 2286.944125
0 29 2367.812047
0 30 2448.590028
0 31 2529.062805
0 32 2608.013803
0 33 2688.346087
0 34 2769.172473
0 35 2849.867041
0 36 2930.431531
0 37 3010.880544
0 38 3091.235366
0 39 3171.521367
0 40 3251.767729
0 41 3331.995998
0 42 3412.218030
0 43 3492.438698
0 44 3572.662165
0 45 3652.881190
0 46 3733.081280
0 47 3813.252619
0 48 3893.382259
0 49 3973.453826
0 50 4053.462883
0 51 4133.410715
0 52 4213.306738
0 53 4293.175262
0 54 4373.042482
0 55 4452.931932
0 56 4532.873455
0 57 4612.887004
0 58 4692.979017
0 59 4773.155267
0 60 4853.412108
0 61 4933.736559
0 62 5014.117222
0 63 5094.542179
0 64 5175.003328
0 65 5255.501391
0 66 5336.036204
0 67 5416.609589
0 68 5497.232331
1 -1 210.878011
1 1 230.608333
1 2 300.046102
1 3 372.659432
1 4 445.839875
1 5 519.651950
1 6 593.073040
1 7 665.691855
1 8 738.423952
1 9 812.590356
1 10 888.408810
1 11 965.647784
1 12 1044.023600
1 13 1123.244990
1 14 1203.009308
1 15 1283.037755
1 16 1363.145474
1 17 1443.178402
1 18 1523.075642
1 19 1602.822952
1 20 1682.449375
1 21 1762.063603
1 22 1841.791053
1 23 1921.746720
1 24 2001.975084
1 25 2082.486765
1 26 2163.248394
1 27 2244.206192
1 28 2325.263829
1 29 2406.305287
1 30 2487.173284
1 31 2567.496039
1 32 2646.535327
1 33 2727.605576
1 34 2808.530786
1 35 2889.305993
1 36 2969.935824
1 37 3050.437365
1 38 3130.831322
1 39 3211.145401
1 40 3291.405705
1 41 3371.628514
1 42 3451.821674
1 43 3531.990078
1 44 3612.135159
1 45 3692.244540
1 46 3772.308106
1 47 3852.317543
1 48 3932.259483
1 49 4012.125071
1 50 4091.917346
1 51 4171.643051
1 52 4251.322631
1 53 4330.987030
1 54 4410.663308
1 55 4490.382251
1 56 4570.175059
1 57 4650.057080
1 58 4730.036977
1 59 4810.120497
1 60 4890.301022
1 61 4970.568333
1 62 5050.913539
1 63 5131.326582
1 64 5211.805015
1 65 5292.350514
1 66 5372.962289
1 67 5453.646554
2 -2 207.309985
2 -1 240.011209
2 0 285.455785
2 1 311.469116
2 2 345.006380
2 3 406.668284
2 4 477.743003
2 5 551.401835
2 6 624.568900
2 7 697.270669
2 8 770.758308
2 9 845.857240
2 10 922.466546
2 11 1000.300720
2 12 1079.111797
2 13 1158.589952
2 14 1238.472589
2 15 1318.497114
2 16 1398.522256
2 17 1478.451933
2 18 1558.226122
2 19 1637.852283
2 20 1717.402497
2 21 1797.005516
2 22 1876.782147
2 23 1956.810173
2 24 2037.125030
2 25 2117.714790
2 26 2198.546458
2 27 2279.536525
2 28 2360.582834
2 29 2441.559615
2 30 2522.261793
2 31 2601.805691
2 32 2681.865693
2 33 2762.892553
2 34 2843.782252
2 35 2924.533689
2 36 3005.158574
2 37 3085.676410
2 38 3166.110673
2 39 3246.489637
2 40 3326.834779
2 41 3407.157917
2 42 3487.463716
2 43 3567.756246
2 44 3648.029228
2 45 3728.268063
2 46 3808.463104
2 47 3888.602210
2 48 3968.669397
2 49 4048.660199
2 50 4128.576686
2 51 4208.428385
2 52 4288.239976
2 53 4368.039140
2 54 4447.850393
2 55 4527.704887
2 56 4607.625255
2 57 4687.620040
2 58 4767.696917
2 59 4847.855018
2 60 4928.083550
2 61 5008.373040
2 62 5088.713815
2 63 5169.099226
2 64 5249.531647
2 65 5330.012990
2 66 5410.546144
2 67 5491.143025
3 -3 204.975417
3 -2 231.417425
3 -1 275.019483
3 0 306.120260
3 1 357.925594
3 2 366.306515
3 3 430.750469
3 4 503.996051
3 5 578.098220
3 6 651.367776
3 7 724.412535
3 8 798.665146
3 9 874.540213
3 10 951.832329
3 11 1030.249728
3 12 1109.527075
3 13 1189.359256
3 14 1269.482567
3 15 1349.688420
3 16 1429.826419
3 17 1509.839307
3 18 1589.698379
3 19 1669.422720
3 20 1749.113947
3 21 1828.903069
3 22 1908.911706
3 23 1989.189342
3 24 2069.754793
3 25 2150.578073
3 26 2231.615302
3 27 2312.770433
3 28 2393.929965
3 29 2474.946853
3 30 2555.513700
3 31 2634.466722
3 32 2715.673463
3 33 2796.738758
3 34 2877.657467
3 35 2958.432931
3 36 3039.081902
3 37 3119.625359
3 38 3200.090799
3 39 3280.505704
3 40 3360.887831
3 41 3441.246040
3 42 3521.584974
3 43 3601.907116
3 44 3682.200718
3 45 3762.454149
3 46 3842.658591
3 47 3922.800274
3 48 4002.867604
3 49 4082.861686
3 50 4162.787174
3 51 4242.661394
3 52 4322.513649
3 53 4402.370132
3 54 4482.259275
3 55 4562.211712
3 56 4642.242864
3 57 4722.359926
3 58 4802.568285
3 59 4882.861233
3 60 4963.227337
3 61 5043.656920
3 62 5124.139094
3 63 5204.670171
3 64 5285.251876
3 65 5365.883592
3 66 5446.570966
