# GYRE 8.1 JCD GL6 w_osc=25 w_ctr=20 n_freq=2000 100-4500uHz ; MODE-A 1.5Msun Xc0.20
l n_pg freq_uHz
0 1 145.082047
0 2 189.331460
0 3 238.685909
0 4 289.996066
0 5 342.349262
0 6 395.062876
0 7 447.802267
0 8 501.298939
0 9 556.382555
0 10 612.423373
0 11 668.683300
0 12 724.905887
0 13 780.590982
0 14 835.157977
0 15 889.365227
0 16 944.754478
0 17 1001.498958
0 18 1058.873228
0 19 1116.412754
0 20 1173.870819
0 21 1230.943982
0 22 1287.511408
0 23 1343.885605
0 24 1400.438426
0 25 1457.186697
0 26 1514.060784
0 27 1571.107886
0 28 1628.275172
0 29 1685.173016
0 30 1740.929250
0 31 1798.490326
0 32 1855.906231
0 33 1913.096693
0 34 1970.102877
0 35 2027.076726
0 36 2084.082853
0 37 2141.065039
0 38 2198.005452
0 39 2254.954333
0 40 2311.908923
0 41 2368.814927
0 42 2425.685547
0 43 2482.587597
0 44 2539.518018
0 45 2596.408180
0 46 2653.232335
0 47 2710.004672
0 48 2766.705112
0 49 2823.313425
0 50 2879.892164
0 51 2936.536993
0 52 2993.282243
0 53 3050.131608
0 54 3107.118330
0 55 3164.261724
0 56 3221.520698
0 57 3278.848920
0 58 3336.249820
0 59 3393.736744
0 60 3451.291767
0 61 3508.904460
0 62 3566.601290
0 63 3624.397557
0 64 3682.263966
0 65 3740.171371
0 66 3798.123573
0 67 3856.120876
0 68 3914.135850
0 69 3972.150986
0 70 4030.181522
0 71 4088.239785
0 72 4146.313525
0 73 4204.395430
0 74 4262.498685
0 75 4320.626638
0 76 4378.758376
0 77 4436.877600
0 78 4494.988096
1 -3 100.134088
1 -2 137.123580
1 -1 149.997182
1 1 195.342508
1 2 246.958452
1 3 294.400787
1 4 313.882768
1 5 362.590250
1 6 416.827692
1 7 470.737199
1 8 525.501945
1 9 581.411494
1 10 637.687210
1 11 693.918404
1 12 749.912050
1 13 805.014262
1 14 859.129743
1 15 913.638573
1 16 969.609123
1 17 1026.654508
1 18 1084.107303
1 19 1141.636265
1 20 1198.979956
1 21 1255.857407
1 22 1312.351721
1 23 1368.875011
1 24 1425.652059
1 25 1482.608168
1 26 1539.728855
1 27 1597.061476
1 28 1654.420036
1 29 1711.021283
1 30 1767.872867
1 31 1825.697071
1 32 1883.353521
1 33 1940.798541
1 34 1998.144697
1 35 2055.522151
1 36 2112.916849
1 37 2170.266898
1 38 2227.596309
1 39 2284.935726
1 40 2342.236636
1 41 2399.463355
1 42 2456.669037
1 43 2513.889741
1 44 2571.069583
1 45 2628.149608
1 46 2685.133435
1 47 2742.018816
1 48 2798.771464
1 49 2855.414122
1 50 2912.042473
1 51 2968.721990
1 52 3025.458817
1 53 3082.272308
1 54 3139.198350
1 55 3196.222599
1 56 3253.292781
1 57 3310.392273
1 58 3367.540735
1 59 3424.736916
1 60 3481.963105
1 61 3539.234111
1 62 3596.582247
1 63 3654.002538
1 64 3711.463247
1 65 3768.957643
1 66 3826.498625
1 67 3884.076518
1 68 3941.667817
1 69 3999.276525
1 70 4056.925916
1 71 4114.619590
1 72 4172.346558
1 73 4230.113304
1 74 4287.935898
1 75 4345.808070
1 76 4403.708923
1 77 4461.633613
2 -6 101.910618
2 -5 119.806717
2 -4 132.953974
2 -3 146.024741
2 -2 163.946769
2 -1 188.921639
2 0 216.856339
2 1 246.092159
2 2 282.296484
2 3 332.770546
2 4 387.101914
2 5 441.250618
2 6 495.272490
2 7 516.330949
2 8 551.456024
2 9 607.668491
2 10 664.084669
2 11 720.392927
2 12 776.169735
2 13 830.811869
2 14 884.962229
2 15 940.203418
2 16 996.841855
2 17 1054.177263
2 18 1111.720547
2 19 1169.222219
2 20 1226.382168
2 21 1283.046612
2 22 1339.502762
2 23 1396.142714
2 24 1453.008674
2 25 1510.023964
2 26 1567.230488
2 27 1624.592338
2 28 1681.744215
2 29 1737.666742
2 30 1795.494213
2 31 1853.196913
2 32 1910.689286
2 33 1968.002922
2 34 2025.288780
2 35 2082.614898
2 36 2139.921901
2 37 2197.185458
2 38 2254.452605
2 39 2311.717693
2 40 2368.921687
2 41 2426.074518
2 42 2483.241008
2 43 2540.414482
2 44 2597.523042
2 45 2654.540208
2 46 2711.479223
2 47 2768.318330
2 48 2825.038649
2 49 2881.705907
2 50 2938.415813
2 51 2995.201124
2 52 3052.066586
2 53 3109.046947
2 54 3166.160481
2 55 3223.365522
2 56 3280.618073
2 57 3337.923888
2 58 3395.296566
2 59 3452.718715
2 60 3510.181864
2 61 3567.713647
2 62 3625.329218
2 63 3682.999911
2 64 3740.698180
2 65 3798.428888
2 66 3856.193011
2 67 3913.964313
2 68 3971.726401
2 69 4029.495129
2 70 4087.283866
2 71 4145.081854
2 72 4202.882708
2 73 4260.700532
2 74 4318.540889
2 75 4376.385416
2 76 4434.219260
2 77 4492.047733
3 -8 104.692035
3 -7 118.321642
3 -6 133.689254
3 -5 146.436047
3 -4 166.242927
3 -3 181.436040
3 -2 191.448711
3 -1 218.047040
3 0 239.525260
3 1 271.061129
3 2 296.070895
3 3 350.534376
3 4 405.993041
3 5 460.665194
3 6 515.790676
3 7 572.045119
3 8 628.246334
3 9 632.676867
3 10 685.415158
3 11 741.767518
3 12 797.293312
3 13 851.712985
3 14 906.266349
3 15 962.232079
3 16 1019.368609
3 17 1076.965706
3 18 1134.658061
3 19 1192.194502
3 20 1249.279697
3 21 1305.940857
3 22 1362.577438
3 23 1419.461424
3 24 1476.532809
3 25 1533.762232
3 26 1591.203746
3 27 1648.702652
3 28 1705.607365
3 29 1762.326988
3 30 1820.275762
3 31 1878.060942
3 32 1935.627057
3 33 1993.075192
3 34 2050.544650
3 35 2108.034239
3 36 2165.478634
3 37 2222.895388
3 38 2280.320793
3 39 2337.711754
3 40 2395.026874
3 41 2452.315322
3 42 2509.620212
3 43 2566.891637
3 44 2624.067180
3 45 2681.148112
3 46 2738.135970
3 47 2794.997087
3 48 2851.748811
3 49 2908.486075
3 50 2965.280060
3 51 3022.139384
3 52 3079.081911
3 53 3136.145168
3 54 3193.318446
3 55 3250.548927
3 56 3307.816604
3 57 3365.140244
3 58 3422.519185
3 59 3479.933906
3 60 3537.396332
3 61 3594.937749
3 62 3652.552544
3 63 3710.206332
3 64 3767.889082
3 65 3825.611530
3 66 3883.362083
3 67 3941.114609
3 68 3998.870651
3 69 4056.651817
3 70 4114.460258
3 71 4172.283511
3 72 4230.126929
3 73 4288.005809
3 74 4345.913267
3 75 4403.828050
3 76 4461.745276
