# GYRE 8.1 JCD GL6 w_osc=25 w_ctr=20 n_freq=2500 200-5500uHz ; MODE-A 1.2Msun Xc0.30
l n_pg freq_uHz
0 1 220.813835
0 2 310.641035
0 3 403.939061
0 4 495.857512
0 5 590.693575
0 6 689.911551
0 7 789.080412
0 8 888.709794
0 9 989.677637
0 10 1089.664933
0 11 1188.845291
0 12 1284.787378
0 13 1379.046414
0 14 1474.189872
0 15 1571.243812
0 16 1669.620484
0 17 1767.110441
0 18 1863.823117
0 19 1959.973172
0 20 2057.066609
0 21 2155.283526
0 22 2254.184498
0 23 2353.480166
0 24 2452.439603
0 25 2551.330845
0 26 2649.961864
0 27 2748.662899
0 28 2847.604645
0 29 2946.645853
0 30 3045.883141
0 31 3144.828663
0 32 3243.359730
0 33 3339.770764
0 34 3438.302052
0 35 3538.181836
0 36 3637.959297
0 37 3737.786684
0 38 3837.518333
0 39 3937.226928
0 40 4036.959922
0 41 4136.619152
0 42 4236.325890
0 43 4335.921380
0 44 4435.455173
0 45 4534.900691
0 46 4634.216486
0 47 4733.518924
0 48 4832.709546
0 49 4931.872441
0 50 5030.953007
0 51 5129.939056
0 52 5228.895966
0 53 5327.762423
0 54 5426.653371
1 -1 228.233420
1 1 286.588803
1 2 327.985062
1 3 433.593780
1 4 534.820768
1 5 635.272679
1 6 736.221356
1 7 835.338123
1 8 935.793112
1 9 1036.117430
1 10 1135.618162
1 11 1233.397944
1 12 1327.934122
1 13 1422.427131
1 14 1518.277326
1 15 1616.268425
1 16 1714.393583
1 17 1811.550861
1 18 1908.000930
1 19 2004.472245
1 20 2102.291265
1 21 2200.918215
1 22 2300.229712
1 23 2399.500400
1 24 2498.519980
1 25 2597.442208
1 26 2696.143647
1 27 2795.126364
1 28 2894.214342
1 29 2993.512047
1 30 3092.788301
1 31 3191.681092
1 32 3289.881931
1 33 3386.120153
1 34 3486.106271
1 35 3586.056685
1 36 3685.972078
1 37 3785.901422
1 38 3885.711165
1 39 3985.578035
1 40 4085.382445
1 41 4185.186326
1 42 4284.976031
1 43 4384.637540
1 44 4484.263875
1 45 4583.734821
1 46 4683.152582
1 47 4782.506339
1 48 4881.766696
1 49 4981.001425
1 50 5080.105004
1 51 5179.168415
1 52 5278.151668
1 53 5377.090028
1 54 5476.048077
2 -3 215.593929
2 -2 243.955526
2 -1 281.749485
2 0 320.725659
2 1 380.873065
2 2 396.997454
2 3 480.501216
2 4 579.278352
2 5 680.483337
2 6 780.703195
2 7 880.410532
2 8 981.347764
2 9 1081.237133
2 10 1180.358592
2 11 1276.451380
2 12 1370.561687
2 13 1465.497429
2 14 1562.286243
2 15 1660.650144
2 16 1758.263840
2 17 1855.102571
2 18 1951.348487
2 19 2048.423331
2 20 2146.712190
2 21 2245.703679
2 22 2345.175574
2 23 2444.336374
2 24 2543.418141
2 25 2642.262796
2 26 2741.132943
2 27 2840.269326
2 28 2939.495549
2 29 3038.937363
2 30 3138.113946
2 31 3236.884048
2 32 3333.922484
2 33 3432.111738
2 34 3532.193793
2 35 3632.169531
2 36 3732.187588
2 37 3832.116618
2 38 3932.006183
2 39 4031.925368
2 40 4131.762548
2 41 4231.643788
2 42 4331.416298
2 43 4431.116377
2 44 4530.730506
2 45 4630.204165
2 46 4729.660169
2 47 4829.000742
2 48 4928.304598
2 49 5027.525730
2 50 5126.642330
2 51 5225.726047
2 52 5324.712194
2 53 5423.714387
3 -5 205.149024
3 -4 225.195247
3 -3 255.010988
3 -2 292.786890
3 -1 319.459880
3 0 356.376251
3 1 414.044519
3 2 435.332519
3 3 514.755804
3 4 615.702142
3 5 717.880223
3 6 817.928031
3 7 918.704776
3 8 1019.717620
3 9 1119.648465
3 10 1218.202614
3 11 1313.290706
3 12 1407.818063
3 13 1503.551982
3 14 1601.432155
3 15 1699.863162
3 16 1797.300351
3 17 1894.031535
3 18 1990.565411
3 19 2088.405979
3 20 2187.157447
3 21 2286.619103
3 22 2386.179972
3 23 2485.445685
3 24 2584.648414
3 25 2683.595024
3 26 2782.788597
3 27 2882.121068
3 28 2981.636066
3 29 3081.196490
3 30 3180.376793
3 31 3278.963699
3 32 3375.161849
3 33 3475.374383
3 34 3575.576983
3 35 3675.717508
3 36 3775.884520
3 37 3875.919792
3 38 3975.997314
3 39 4076.021226
3 40 4176.021792
3 41 4276.020095
3 42 4375.878406
3 43 4475.696455
3 44 4575.359910
3 45 4674.950945
3 46 4774.484003
3 47 4873.909625
3 48 4973.309342
3 49 5072.575279
3 50 5171.789157
3 51 5270.925748
3 52 5370.002856
3 53 5469.100202
