# GYRE 8.1 JCD GL6 w_osc=25 w_ctr=20 n_freq=2500 200-5500uHz ; MODE-A 1.2Msun Xc0.60
l n_pg freq_uHz
0 1 257.765336
0 2 360.526938
0 3 464.499418
0 4 576.136835
0 5 693.053539
0 6 814.197819
0 7 934.057937
0 8 1054.082026
0 9 1174.744513
0 10 1294.436328
0 11 1413.585787
0 12 1529.264425
0 13 1642.531979
0 14 1755.023169
0 15 1869.305465
0 16 1985.259769
0 17 2101.064500
0 18 2216.073905
0 19 2329.881961
0 20 2444.305625
0 21 2559.654732
0 22 2676.246107
0 23 2793.312737
0 24 2910.337866
0 25 3027.280196
0 26 3143.877342
0 27 3260.674600
0 28 3377.536580
0 29 3494.768393
0 30 3612.188850
0 31 3729.598437
0 32 3846.968888
0 33 3963.960857
0 34 4080.573415
0 35 4195.107236
0 36 4311.233873
0 37 4429.384738
0 38 4547.477238
0 39 4665.625597
0 40 4783.690168
0 41 4901.832673
0 42 5019.927589
0 43 5138.004513
0 44 5256.051594
0 45 5373.969868
0 46 5491.867826
1 1 266.968443
1 2 386.690141
1 3 512.440868
1 4 632.461799
1 5 752.815680
1 6 873.361348
1 7 991.964652
1 8 1111.981087
1 9 1231.427687
1 10 1350.652007
1 11 1468.083626
1 12 1582.112660
1 13 1694.722276
1 14 1807.600614
1 15 1922.929213
1 16 2038.867389
1 17 2154.465055
1 18 2268.800014
1 19 2382.760845
1 20 2497.671176
1 21 2613.621632
1 22 2730.665487
1 23 2847.743629
1 24 2964.871197
1 25 3081.676478
1 26 3198.411368
1 27 3315.328702
1 28 3432.389969
1 29 3549.859740
1 30 3667.323066
1 31 3784.838821
1 32 3902.105275
1 33 4019.024932
1 34 4135.201879
1 35 4248.898744
1 36 4367.155834
1 37 4485.310858
1 38 4603.509321
1 39 4721.674238
1 40 4839.822092
1 41 4958.023318
1 42 5076.139498
1 43 5194.281778
1 44 5312.303050
1 45 5430.261731
2 -1 230.663904
2 0 277.528500
2 1 346.430787
2 2 442.393168
2 3 562.382926
2 4 682.203274
2 5 803.947555
2 6 923.817201
2 7 1043.151864
2 8 1163.320029
2 9 1282.500562
2 10 1401.395913
2 11 1517.151848
2 12 1630.348228
2 13 1742.699607
2 14 1856.604622
2 15 1972.485397
2 16 2088.351969
2 17 2203.580988
2 18 2317.536154
2 19 2431.974065
2 20 2547.365192
2 21 2663.993734
2 22 2781.244589
2 23 2898.445352
2 24 3015.616827
2 25 3132.416648
2 26 3249.391054
2 27 3366.443077
2 28 3483.830580
2 29 3601.455776
2 30 3719.054582
2 31 3836.642859
2 32 3953.854363
2 33 4070.705979
2 34 4185.861816
2 35 4301.555040
2 36 4419.893045
2 37 4538.151789
2 38 4656.470462
2 39 4774.699846
2 40 4892.995214
2 41 5011.252398
2 42 5129.474953
2 43 5247.676948
2 44 5365.739509
2 45 5483.777841
3 -2 222.383147
3 -1 257.127254
3 0 312.875015
3 1 369.490713
3 2 484.544263
3 3 605.823536
3 4 726.857114
3 5 848.843578
3 6 968.248361
3 7 1088.493484
3 8 1208.518157
3 9 1327.956453
3 10 1446.209805
3 11 1560.879634
3 12 1673.805106
3 13 1786.544519
3 14 1901.653516
3 15 2017.817080
3 16 2133.729780
3 17 2248.561868
3 18 2362.662355
3 19 2477.673224
3 20 2593.679362
3 21 2710.907045
3 22 2828.304226
3 23 2945.732332
3 24 3062.918902
3 25 3179.923084
3 26 3297.141736
3 27 3414.453773
3 28 3532.190102
3 29 3649.964341
3 30 3767.773659
3 31 3885.394002
3 32 4002.642454
3 33 4119.290344
3 34 4232.871999
3 35 4351.403223
3 36 4469.842758
3 37 4588.293682
3 38 4706.731181
3 39 4825.118303
3 40 4943.569836
3 41 5061.928766
3 42 5180.303762
3 43 5298.570002
3 44 5416.748739
