# GYRE 8.1 JCD GL6 w_osc=25 w_ctr=20 n_freq=2500 200-5500uHz ; MODE-A 1.2Msun Xc0.10
l n_pg freq_uHz
0 2 249.758299
0 3 330.524499
0 4 406.991006
0 5 486.467824
0 6 565.905502
0 7 646.895818
0 8 728.331160
0 9 809.881190
0 10 889.702099
0 11 966.993910
0 12 1043.347533
0 13 1121.333647
0 14 1200.597611
0 15 1279.732289
0 16 1357.711759
0 17 1435.575511
0 18 1514.278101
0 19 1594.146146
0 20 1674.413958
0 21 1754.709091
0 22 1834.722810
0 23 1914.702596
0 24 1994.775339
0 25 2075.144158
0 26 2155.689765
0 27 2236.288864
0 28 2316.746577
0 29 2396.989587
0 30 2476.815628
0 31 2554.144259
0 32 2635.146515
0 33 2716.115122
0 34 2797.073369
0 35 2878.005741
0 36 2958.959754
0 37 3039.867789
0 38 3120.763277
0 39 3201.557803
0 40 3282.319895
0 41 3362.990026
0 42 3443.659099
0 43 3524.246236
0 44 3604.815203
0 45 3685.281496
0 46 3765.726673
0 47 3846.093302
0 48 3926.471624
0 49 4006.809420
0 50 4087.182552
0 51 4167.539691
0 52 4247.956073
0 53 4328.400225
0 54 4408.950367
0 55 4489.578546
0 56 4570.341004
0 57 4651.200453
0 58 4732.196052
0 59 4813.295261
0 60 4894.529001
0 61 4975.869874
0 62 5057.334790
0 63 5138.898234
0 64 5220.565218
0 65 5302.317823
0 66 5384.153148
0 67 5466.062046
1 -1 211.357960
1 1 264.404283
1 2 348.787819
1 3 405.715057
1 4 441.262804
1 5 520.310019
1 6 600.991707
1 7 683.096382
1 8 764.567848
1 9 845.840668
1 10 924.190114
1 11 1000.851643
1 12 1077.496170
1 13 1156.319200
1 14 1235.556013
1 15 1314.319074
1 16 1391.996163
1 17 1470.294699
1 18 1549.552499
1 19 1629.871192
1 20 1710.250233
1 21 1790.632402
1 22 1870.704959
1 23 1950.952790
1 24 2031.312627
1 25 2112.070466
1 26 2192.879122
1 27 2273.764939
1 28 2354.402284
1 29 2434.872250
1 30 2514.531713
1 31 2593.237526
1 32 2674.595598
1 33 2756.012311
1 34 2837.362712
1 35 2918.782674
1 36 3000.148298
1 37 3081.535943
1 38 3162.819893
1 39 3244.065593
1 40 3325.202804
1 41 3406.308626
1 42 3487.327803
1 43 3568.291295
1 44 3649.143375
1 45 3729.912300
1 46 3810.581900
1 47 3891.187540
1 48 3971.732105
1 49 4052.235023
1 50 4132.700561
1 51 4213.139670
1 52 4293.577861
1 53 4374.032735
1 54 4454.540133
1 55 4535.098798
1 56 4615.734833
1 57 4696.430064
1 58 4777.212886
1 59 4858.058739
1 60 4938.999968
1 61 5020.004573
1 62 5101.103819
1 63 5182.257717
1 64 5263.497620
1 65 5344.783602
1 66 5426.149738
2 -2 226.530601
2 -1 262.699426
2 0 311.384977
2 1 346.296307
2 2 394.447673
2 3 475.449221
2 4 557.039572
2 5 638.931407
2 6 686.612284
2 7 721.443561
2 8 803.172319
2 9 883.403007
2 10 960.868723
2 11 1037.263413
2 12 1115.066598
2 13 1194.343128
2 14 1273.553403
2 15 1351.701745
2 16 1429.593686
2 17 1508.346521
2 18 1588.274458
2 19 1668.720783
2 20 1749.208266
2 21 1829.466785
2 22 1909.668102
2 23 1989.997511
2 24 2070.620015
2 25 2151.468250
2 26 2232.381453
2 27 2313.191464
2 28 2393.791752
2 29 2474.011872
2 30 2551.652344
2 31 2633.061031
2 32 2714.440542
2 33 2795.822351
2 34 2877.180200
2 35 2958.564817
2 36 3039.901621
2 37 3121.221776
2 38 3202.432695
2 39 3283.598452
2 40 3364.658185
2 41 3445.697069
2 42 3526.633158
2 43 3607.524623
2 44 3688.287187
2 45 3768.999046
2 46 3849.603214
2 47 3930.188174
2 48 4010.701168
2 49 4091.217904
2 50 4171.686316
2 51 4252.184056
2 52 4332.678411
2 53 4413.250801
2 54 4493.870401
2 55 4574.597609
2 56 4655.392066
2 57 4736.298262
2 58 4817.280232
2 59 4898.374691
2 60 4979.550614
2 61 5060.830695
2 62 5142.185881
2 63 5223.626863
2 64 5305.132837
2 65 5386.706013
2 66 5468.334902
3 -4 213.032209
3 -3 240.449399
3 -2 262.836483
3 -1 309.672021
3 0 337.940907
3 1 401.850726
3 2 420.264038
3 3 504.131213
3 4 586.467584
3 5 669.637312
3 6 751.994714
3 7 833.933840
3 8 840.883030
3 9 913.430427
3 10 990.634716
3 11 1067.433893
3 12 1146.365911
3 13 1225.906616
3 14 1305.074303
3 15 1383.043176
3 16 1461.489677
3 17 1540.863779
3 18 1621.381196
3 19 1702.014374
3 20 1782.681268
3 21 1863.021683
3 22 1943.518722
3 23 2024.113942
3 24 2105.113364
3 25 2186.178451
3 26 2267.329956
3 27 2348.237216
3 28 2428.978343
3 29 2508.977056
3 30 2587.733822
3 31 2669.329368
3 32 2750.973196
3 33 2832.547536
3 34 2914.179488
3 35 2995.756489
3 36 3077.344389
3 37 3158.828414
3 38 3240.261777
3 39 3321.585030
3 40 3402.864894
3 41 3484.058249
3 42 3565.186978
3 43 3646.205382
3 44 3727.132862
3 45 3807.962257
3 46 3888.721941
3 47 3969.423064
3 48 4050.079468
3 49 4130.702208
3 50 4211.297606
3 51 4291.896725
3 52 4372.513774
3 53 4453.189160
3 54 4533.919291
3 55 4614.733556
3 56 4695.611906
3 57 4776.584482
3 58 4857.625149
3 59 4938.766730
3 60 5019.975786
3 61 5101.282818
3 62 5182.646219
3 63 5264.095725
3 64 5345.589550
3 65 5427.159682
