                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                               "r26.4.1"                               "gfortran"                                 "15.2.0"                    "x86_64-linux-26.6.1"                                 "CRMATH"                               "20260609"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                       log_power_nuc_burn                           power_nuc_burn                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                     Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                      711                  1.0000000000000001E-005                 -4.9999999999999991E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999907649995E-001                  4.0821363549844170E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999907649995E-001                  4.0821363549844170E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.1841408264596067E+000                  6.5442393294247363E-005                 -4.1841408264596076E+000                 -9.8999999999999986E+001                 -1.9566949718158774E+001                 -4.1841408264596067E+000                  6.5442393294247363E-005                 -4.1841408264606237E+000                 -1.5815010940773650E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6538467059187187E+000                  1.2610101114045977E-001                  2.7801025459728995E-001                  3.8820471181085532E+000                  0.0000000000000000E+000                  1.4844330145508145E+001                  1.0885403136857852E-001                  6.6052026860987212E+000                  6.1296623945216988E-001                  8.5824770319108301E-001                  1.2743228965333047E+000                  7.1650000000000003E-001                  2.6947131977607075E-001                  2.3838810482634588E-003                  6.5489967737205716E-003                  2.3838810482634588E-003                  6.5489967737205742E-003                  7.1649999999999991E-001                  2.6947131977607064E-001                                        0                                        5 
                                       5                                      704                  7.4416000000000014E-005                 -4.6832750158095005E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999926399996E-001                  3.9751289768677471E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999926399996E-001                  3.9751289768677471E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.1839514429250411E+000                  6.5470937093294775E-005                 -4.1839514429250411E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.1839514429250411E+000                  6.5470937093294775E-005                 -4.1839514429264106E+000                 -1.5685289119690436E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6540468054050530E+000                  1.2690675715781483E-001                  2.7801292863329802E-001                  3.8820417700365368E+000                  0.0000000000000000E+000                  1.4844330145525317E+001                  1.0885403138266504E-001                  6.6052026861018129E+000                  6.1296623945216877E-001                  8.5824770319108301E-001                  1.2743228965333047E+000                  7.1650000000000003E-001                  2.6947131977607075E-001                  2.3838810482634588E-003                  6.5489967737205716E-003                  2.3838810482634592E-003                  6.5489967737205751E-003                  7.1649999999999991E-001                  2.6947131977607064E-001                                        0                                        5 
                                      10                                      704                  2.5958682111999997E-004                 -4.2873687855713758E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999926399996E-001                  4.0345597013892724E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999926399996E-001                  4.0345597013892724E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.1834142069550939E+000                  6.5551976821174224E-005                 -4.1834142069550939E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.1834142069550939E+000                  6.5551976821174224E-005                 -4.1834142069565265E+000                 -1.5664943431149464E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6542407355422730E+000                  1.2768434229873393E-001                  2.7801386092931779E-001                  3.8820399054444974E+000                  0.0000000000000000E+000                  1.4844330145582477E+001                  1.0885403142785133E-001                  6.6052026861137918E+000                  6.1296623945216411E-001                  8.5824770319108301E-001                  1.2743228965333047E+000                  7.1650000000000003E-001                  2.6947131977607075E-001                  2.3838810482634588E-003                  6.5489967737205716E-003                  2.3838810482634592E-003                  6.5489967737205751E-003                  7.1649999999999991E-001                  2.6947131977607064E-001                                        0                                        5 
                                      15                                      704                  7.2035107872931814E-004                 -3.8914625553332525E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999926399996E-001                  4.1953620021146568E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999926399996E-001                  4.1953620021146568E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.1821220614137742E+000                  6.5747302412628325E-005                 -4.1821220614137742E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.1821220614137742E+000                  6.5747302412628325E-005                 -4.1821220614152033E+000                 -1.5664649716613775E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6542765319331862E+000                  1.2782804402291370E-001                  2.7801411900958217E-001                  3.8820393892839689E+000                  0.0000000000000000E+000                  1.4844330145732487E+001                  1.0885403154492763E-001                  6.6052026861467148E+000                  6.1296623945215167E-001                  8.5824770319108301E-001                  1.2743228965333047E+000                  7.1650000000000003E-001                  2.6947131977607075E-001                  2.3838810482634588E-003                  6.5489967737205716E-003                  2.3838810482634592E-003                  6.5489967737205751E-003                  7.1649999999999991E-001                  2.6947131977607064E-001                                        0                                        5 
                                      20                                      704                  1.8668799962237366E-003                 -3.4955563250951283E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999926399996E-001                  4.8607236066947980E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999926399996E-001                  4.8607236066947980E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.1791617736247959E+000                  6.6196987562226888E-005                 -4.1791617736247959E+000                 -9.8999999999999986E+001                 -1.9867979713822756E+001                 -4.1791617736247959E+000                  6.6196987562226888E-005                 -4.1791617736262161E+000                 -1.5664649510854840E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6542841794058667E+000                  1.2785880005685091E-001                  2.7801420208118915E-001                  3.8820392231407546E+000                  0.0000000000000000E+000                  1.4844330146109289E+001                  1.0885403183836920E-001                  6.6052026862300366E+000                  6.1296623945211903E-001                  8.5824770319108301E-001                  1.2743228965333047E+000                  7.1650000000000003E-001                  2.6947131977607075E-001                  2.3838810482634588E-003                  6.5489967737205716E-003                  2.3838810482634592E-003                  6.5489967737205751E-003                  7.1649999999999991E-001                  2.6947131977607064E-001                                        0                                        5 
                                      25                                      704                  4.7198108322034473E-003                 -3.0996500948570040E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999926399996E-001                  4.8607234582661162E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999926399996E-001                  4.8607234582661162E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.1731024367106713E+000                  6.7127050218647393E-005                 -4.1731024367106713E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.1731024367106713E+000                  6.7127050218647393E-005                 -4.1731024367120719E+000                 -1.5664649503801622E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6542857247488216E+000                  1.2786503659945367E-001                  2.7801422966658024E-001                  3.8820391679699724E+000                  0.0000000000000000E+000                  1.4844330147048060E+001                  1.0885403256920857E-001                  6.6052026864378606E+000                  6.1296623945203843E-001                  8.5824770319108346E-001                  1.2743228965333040E+000                  7.1650000000000003E-001                  2.6947131977607108E-001                  2.3838810482634597E-003                  6.5489967737205742E-003                  2.3838810482634592E-003                  6.5489967737205751E-003                  7.1649999999999991E-001                  2.6947131977607069E-001                                        0                                        5 
                                      30                                      704                  1.1818815689988481E-002                 -2.7037438646188803E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999926399996E-001                  4.3447907517078832E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999926399996E-001                  4.3447907517078832E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.1633298073556384E+000                  6.8654687178028805E-005                 -4.1633298073556384E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.1633298073556384E+000                  6.8654687178028805E-005                 -4.1633298073570071E+000                 -1.5664649486275312E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6542860173538849E+000                  1.2786622599321479E-001                  2.7801423915333445E-001                  3.8820391489964643E+000                  0.0000000000000000E+000                  1.4844330149383282E+001                  1.0885403438730784E-001                  6.6052026869547191E+000                  6.1296623945183804E-001                  8.5824770319108334E-001                  1.2743228965333040E+000                  7.1650000000000003E-001                  2.6947131977607147E-001                  2.3838810482634588E-003                  6.5489967737205708E-003                  2.3838810482634592E-003                  6.5489967737205751E-003                  7.1649999999999991E-001                  2.6947131977607069E-001                                        0                                        5 
                                      35                                      704                  2.9483411457712130E-002                 -2.3078376343807561E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999926399996E-001                  4.1073614832857021E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999926399996E-001                  4.1073614832857021E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.1528971379704398E+000                  7.0323886128332018E-005                 -4.1528971379704398E+000                 -9.8999999999999986E+001                 -1.9867979713822756E+001                 -4.1528971379704398E+000                  7.0323886128332018E-005                 -4.1528971379717765E+000                 -1.5664649442755351E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6542860777141741E+000                  1.2786647327524692E-001                  2.7801424207377168E-001                  3.8820391431555898E+000                  0.0000000000000000E+000                  1.4844330155191011E+001                  1.0885403890945590E-001                  6.6052026882396628E+000                  6.1296623945133921E-001                  8.5824770319108301E-001                  1.2743228965333040E+000                  7.1649999999999969E-001                  2.6947131977607258E-001                  2.3838810482634588E-003                  6.5489967737205682E-003                  2.3838810482634592E-003                  6.5489967737205751E-003                  7.1649999999999991E-001                  2.6947131977607075E-001                                        0                                        5 
                                      40                                      704                  7.3438578398454232E-002                 -1.9119314041426323E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999926399996E-001                  4.0854977023559884E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999926399996E-001                  4.0854977023559884E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.1460346660414498E+000                  7.1443929617581603E-005                 -4.1460346660414498E+000                 -9.8999999999999986E+001                 -1.9566949718158774E+001                 -4.1460346660414498E+000                  7.1443929617581603E-005                 -4.1460346660427652E+000                 -1.5664649334696572E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6542860947996987E+000                  1.2786653891131430E-001                  2.7801424072075698E-001                  3.8820391458616190E+000                  0.0000000000000000E+000                  1.4844330169630348E+001                  1.0885405015466793E-001                  6.6052026914322264E+000                  6.1296623945010087E-001                  8.5824770319108334E-001                  1.2743228965333040E+000                  7.1649999999999925E-001                  2.6947131977607558E-001                  2.3838810482634588E-003                  6.5489967737205708E-003                  2.3838810482634592E-003                  6.5489967737205751E-003                  7.1649999999999991E-001                  2.6947131977607075E-001                                        0                                        5 
