# GYRE 8.1 JCD GL6 w_osc=25 w_ctr=20 n_freq=2500 200-5500uHz ; MODE-A 1.0Msun midMS
l n_pg freq_uHz
0 1 279.312621
0 2 422.669525
0 3 560.627924
0 4 711.707686
0 5 866.094341
0 6 1020.815814
0 7 1173.887894
0 8 1327.440534
0 9 1478.870993
0 10 1629.091441
0 11 1775.299650
0 12 1918.797931
0 13 2061.190839
0 14 2204.019313
0 15 2347.672081
0 16 2490.175633
0 17 2631.762239
0 18 2772.888398
0 19 2914.785676
0 20 3057.823579
0 21 3201.182192
0 22 3344.837402
0 23 3488.337771
0 24 3632.186688
0 25 3776.427561
0 26 3921.002129
0 27 4065.985041
0 28 4211.035182
0 29 4356.357347
0 30 4501.676232
0 31 4647.126792
0 32 4792.600624
0 33 4937.984992
0 34 5083.268185
0 35 5228.064451
0 36 5371.815864
1 -1 204.289381
1 1 300.620667
1 2 473.893883
1 3 628.602461
1 4 786.075716
1 5 939.143365
1 6 1093.301551
1 7 1245.472323
1 8 1397.944962
1 9 1548.835228
1 10 1697.009459
1 11 1842.213554
1 12 1984.624195
1 13 2127.522004
1 14 2270.853678
1 15 2414.270228
1 16 2556.564198
1 17 2697.738145
1 18 2839.450119
1 19 2981.907976
1 20 3125.379878
1 21 3269.045030
1 22 3412.677365
1 23 3556.529350
1 24 3700.554197
1 25 3845.163695
1 26 3989.979138
1 27 4135.124109
1 28 4280.414236
1 29 4425.778592
1 30 4571.309988
1 31 4716.788376
1 32 4862.368403
1 33 5007.750178
1 34 5152.921782
1 35 5297.453792
1 36 5439.060320
2 -2 220.400720
2 -1 260.924142
2 0 306.856727
2 1 391.576246
2 2 540.209475
2 3 695.819925
2 4 852.224350
2 5 1006.504538
2 6 1159.436496
2 7 1312.403600
2 8 1463.676533
2 9 1613.999837
2 10 1760.443343
2 11 1904.369782
2 12 2046.807314
2 13 2189.841538
2 14 2333.727283
2 15 2476.631968
2 16 2618.652207
2 17 2760.013882
2 18 2902.182987
2 19 3045.435369
2 20 3189.108267
2 21 3333.087700
2 22 3476.874245
2 23 3621.025410
2 24 3765.503313
2 25 3910.358041
2 26 4055.586621
2 27 4200.894105
2 28 4346.469250
2 29 4492.017535
2 30 4637.713966
2 31 4783.401125
2 32 4929.020339
2 33 5074.520307
2 34 5219.551072
2 35 5363.610708
3 -3 228.015869
3 -2 258.836909
3 -1 288.042324
3 0 338.016634
3 1 436.024299
3 2 593.791515
3 3 753.451405
3 4 908.925064
3 5 1064.502700
3 6 1217.334105
3 7 1370.817413
3 8 1522.169165
3 9 1671.567346
3 10 1817.490769
3 11 1960.590777
3 12 2103.778286
3 13 2247.349702
3 14 2391.438385
3 15 2534.293494
3 16 2676.088350
3 17 2818.141858
3 18 2960.921688
3 19 3104.851435
3 20 3248.941600
3 21 3393.116747
3 22 3537.378562
3 23 3681.841220
3 24 3826.866934
3 25 3972.081046
3 26 4117.672348
3 27 4263.345027
3 28 4409.141325
3 29 4555.048659
3 30 4700.919540
3 31 4846.881035
3 32 4992.629011
3 33 5138.200208
3 34 5283.141714
3 35 5425.855342
