# GYRE 8.1 JCD GL6 w_osc=25 w_ctr=20 n_freq=2500 200-5500uHz ; MODE-A 1.0Msun Xc0.40
l n_pg freq_uHz
0 1 266.923188
0 2 407.097541
0 3 537.226031
0 4 678.786769
0 5 824.040993
0 6 970.090571
0 7 1114.869249
0 8 1260.238107
0 9 1403.623527
0 10 1545.661341
0 11 1683.684596
0 12 1819.226331
0 13 1954.165002
0 14 2089.783509
0 15 2226.029276
0 16 2360.950221
0 17 2495.047279
0 18 2629.046309
0 19 2764.042997
0 20 2900.104747
0 21 3036.348557
0 22 3172.797089
0 23 3309.137336
0 24 3445.886272
0 25 3583.027515
0 26 3720.492434
0 27 3858.314032
0 28 3996.173775
0 29 4134.258448
0 30 4272.320042
0 31 4410.496008
0 32 4548.639649
0 33 4686.626559
0 34 4824.359204
0 35 4961.208414
0 36 5094.451329
0 37 5233.494867
0 38 5372.581250
1 -1 243.374321
1 1 287.179813
1 2 450.844763
1 3 597.819355
1 4 747.041030
1 5 892.035595
1 6 1038.023009
1 7 1182.198107
1 8 1326.695123
1 9 1469.553835
1 10 1609.610105
1 11 1746.717464
1 12 1881.493000
1 13 2017.135889
1 14 2153.258094
1 15 2289.207181
1 16 2423.937464
1 17 2557.840165
1 18 2692.583008
1 19 2828.169108
1 20 2964.619001
1 21 3101.121690
1 22 3237.585199
1 23 3374.314877
1 24 3511.270456
1 25 3648.778709
1 26 3786.463854
1 27 3924.437518
1 28 4062.505658
1 29 4200.629003
1 30 4338.887081
1 31 4477.071143
1 32 4615.284194
1 33 4753.202032
1 34 4890.695041
1 35 5026.553323
1 36 5161.761566
1 37 5300.913307
1 38 5439.989558
2 -3 210.830755
2 -2 244.573730
2 -1 286.195424
2 0 331.044426
2 1 382.216617
2 2 516.128741
2 3 662.927608
2 4 810.905083
2 5 957.009505
2 6 1101.889266
2 7 1246.852064
2 8 1390.167769
2 9 1532.349100
2 10 1670.609957
2 11 1806.514477
2 12 1941.474693
2 13 2077.294740
2 14 2213.802553
2 15 2349.122824
2 16 2483.611165
2 17 2617.824120
2 18 2753.084347
2 19 2889.379745
2 20 3025.943611
2 21 3162.707375
2 22 3299.324222
2 23 3436.361327
2 24 3573.738894
2 25 3711.474591
2 26 3849.534255
2 27 3987.640615
2 28 4125.962763
2 29 4264.241149
2 30 4402.644915
2 31 4540.989923
2 32 4679.195661
2 33 4817.135105
2 34 4954.234094
2 35 5087.494163
2 36 5226.698088
2 37 5365.948777
3 -5 203.251818
3 -4 227.452070
3 -3 252.035411
3 -2 279.475708
3 -1 323.085112
3 0 366.652168
3 1 417.850317
3 2 565.883832
3 3 717.226315
3 4 864.630433
3 5 1012.081551
3 6 1156.991296
3 7 1302.499367
3 8 1445.879181
3 9 1587.109421
3 10 1724.874956
3 11 1860.187745
3 12 1996.040693
3 13 2132.396512
3 14 2268.984875
3 15 2404.218198
3 16 2538.623968
3 17 2673.639136
3 18 2809.527161
3 19 2946.420079
3 20 3083.333894
3 21 3220.295264
3 22 3357.401417
3 23 3494.765223
3 24 3632.666467
3 25 3770.735947
3 26 3909.134578
3 27 4047.573415
3 28 4186.106475
3 29 4324.723061
3 30 4463.282873
3 31 4601.861719
3 32 4740.138241
3 33 4878.033601
3 34 5014.481993
3 35 5149.522827
3 36 5288.963040
3 37 5428.330652
