# GYRE 8.1 JCD GL6 w_osc=25 w_ctr=20 n_freq=2500 200-5500uHz ; MODE-A 1.0Msun Xc0.60
l n_pg freq_uHz
0 1 290.594569
0 2 436.566359
0 3 583.172570
0 4 743.665275
0 5 906.840467
0 6 1069.918158
0 7 1230.975095
0 8 1392.421414
0 9 1551.594842
0 10 1709.663658
0 11 1863.751431
0 12 2014.971187
0 13 2164.649687
0 14 2314.461187
0 15 2465.204890
0 16 2614.981835
0 17 2763.833743
0 18 2911.923412
0 19 3060.519440
0 20 3210.254113
0 21 3360.422963
0 22 3511.002522
0 23 3661.411682
0 24 3812.102102
0 25 3963.171477
0 26 4114.583407
0 27 4266.449450
0 28 4418.404394
0 29 4570.673099
0 30 4722.971747
0 31 4875.411980
0 32 5027.914756
0 33 5180.370799
0 34 5332.823511
0 35 5484.952167
1 1 314.166214
1 2 496.058659
1 3 658.218381
1 4 823.682776
1 5 984.554456
1 6 1146.601976
1 7 1306.498476
1 8 1466.650827
1 9 1625.264855
1 10 1781.219263
1 11 1934.234267
1 12 2084.099894
1 13 2234.070127
1 14 2384.352735
1 15 2534.920665
1 16 2684.512975
1 17 2832.792299
1 18 2981.317160
1 19 3130.420096
1 20 3280.624519
1 21 3431.164366
1 22 3581.708566
1 23 3732.442733
1 24 3883.288183
1 25 4034.736673
1 26 4186.418442
1 27 4338.454944
1 28 4490.681603
1 29 4643.006822
1 30 4795.537812
1 31 4948.027536
1 32 5100.662889
1 33 5253.170867
1 34 5405.579229
2 -1 238.941965
2 0 303.380061
2 1 402.614517
2 2 563.454865
2 3 727.429596
2 4 891.943023
2 5 1054.121901
2 6 1214.838577
2 7 1375.552268
2 8 1534.502381
2 9 1692.654210
2 10 1846.978183
2 11 1998.691680
2 12 2148.450505
2 13 2298.488863
2 14 2449.448802
2 15 2599.631584
2 16 2748.963258
2 17 2897.325371
2 18 3046.222958
2 19 3196.169221
2 20 3346.655626
2 21 3497.576436
2 22 3648.290402
2 23 3799.308879
2 24 3950.627879
2 25 4102.339812
2 26 4254.470365
2 27 4406.701328
2 28 4559.245240
2 29 4711.791395
2 30 4864.502094
2 31 5017.237636
2 32 5169.949781
2 33 5322.637847
2 34 5475.011799
3 -2 233.581799
3 -1 275.261493
3 0 329.260987
3 1 453.899115
3 2 620.399300
3 3 788.068922
3 4 951.339416
3 5 1114.778259
3 6 1275.277507
3 7 1436.469907
3 8 1595.509620
3 9 1752.756151
3 10 1906.564833
3 11 2057.282911
3 12 2207.649323
3 13 2358.198844
3 14 2509.470657
3 15 2659.672287
3 16 2808.688847
3 17 2957.637256
3 18 3107.097895
3 19 3257.779668
3 20 3408.756378
3 21 3559.888622
3 22 3711.073357
3 23 3862.391570
3 24 4014.281991
3 25 4166.379560
3 26 4318.889279
3 27 4471.516594
3 28 4624.299731
3 29 4777.230804
3 30 4930.135174
3 31 5083.174343
3 32 5236.063255
3 33 5388.885645
