# GYRE 8.1 JCD GL6 w_osc=25 w_ctr=20 n_freq=2500 200-5500uHz ; MODE-A 1.0Msun Xc0.10
l n_pg freq_uHz
0 1 222.430519
0 2 347.698459
0 3 457.938285
0 4 572.254246
0 5 688.512503
0 6 806.882048
0 7 924.764677
0 8 1043.735160
0 9 1160.841652
0 10 1275.937187
0 11 1387.555174
0 12 1498.058413
0 13 1609.738352
0 14 1721.863395
0 15 1833.581316
0 16 1943.901525
0 17 2054.388562
0 18 2166.030096
0 19 2278.522494
0 20 2391.517023
0 21 2504.276392
0 22 2617.208859
0 23 2730.397190
0 24 2843.975121
0 25 2957.975257
0 26 3072.060326
0 27 3186.346503
0 28 3300.588923
0 29 3414.932862
0 30 3529.253067
0 31 3643.383527
0 32 3757.157082
0 33 3869.338280
0 34 3981.599939
0 35 4096.800798
0 36 4212.026203
0 37 4327.241155
0 38 4442.395883
0 39 4557.568802
0 40 4672.647636
0 41 4787.726920
0 42 4902.700208
0 43 5017.605918
0 44 5132.425273
0 45 5247.129818
0 46 5361.777742
0 47 5476.288959
1 -3 225.369451
1 -2 240.433018
1 -1 293.791482
1 1 371.716614
1 2 407.191891
1 3 498.407125
1 4 620.515274
1 5 739.403332
1 6 859.011100
1 7 977.526206
1 8 1095.971490
1 9 1212.619964
1 10 1325.908046
1 11 1437.140646
1 12 1548.012251
1 13 1660.452079
1 14 1772.848666
1 15 1884.061729
1 16 1994.725060
1 17 2105.830961
1 18 2218.350750
1 19 2331.409761
1 20 2444.566451
1 21 2557.715150
1 22 2670.906208
1 23 2784.619123
1 24 2898.582630
1 25 3012.897104
1 26 3127.300002
1 27 3241.718715
1 28 3356.238830
1 29 3470.677631
1 30 3585.120012
1 31 3699.215548
1 32 3812.634559
1 33 3923.084990
1 34 4038.369634
1 35 4153.721286
1 36 4268.988302
1 37 4384.283492
1 38 4499.494555
1 39 4614.682252
1 40 4729.824041
1 41 4844.873834
1 42 4959.881981
1 43 5074.749675
1 44 5189.567130
1 45 5304.258207
1 46 5418.866540
2 -6 213.892395
2 -5 235.524627
2 -4 261.082521
2 -3 291.146774
2 -2 325.192002
2 -1 357.547450
2 0 425.066091
2 1 443.286892
2 2 553.543777
2 3 569.089715
2 4 675.941281
2 5 795.730852
2 6 914.557098
2 7 1033.864261
2 8 1151.277791
2 9 1266.796900
2 10 1378.650261
2 11 1489.349225
2 12 1601.056225
2 13 1713.427887
2 14 1825.514855
2 15 1936.154847
2 16 2046.942512
2 17 2158.809294
2 18 2271.627793
2 19 2384.973600
2 20 2498.085223
2 21 2611.373415
2 22 2724.872218
2 23 2838.782824
2 24 2953.092377
2 25 3067.492560
2 26 3182.083666
2 27 3296.609122
2 28 3411.233113
2 29 3525.807944
2 30 3640.192166
2 31 3754.206030
2 32 3866.681866
2 33 3979.010710
2 34 4094.398056
2 35 4209.803470
2 36 4325.181213
2 37 4440.491208
2 38 4555.805761
2 39 4671.015931
2 40 4786.217418
2 41 4901.301423
2 42 5016.311385
2 43 5131.224270
2 44 5246.016536
2 45 5360.744122
2 46 5475.328746
3 -9 212.089816
3 -8 226.423966
3 -7 244.523958
3 -6 266.821342
3 -5 293.474096
3 -4 323.075954
3 -3 347.461495
3 -2 369.787518
3 -1 419.555335
3 0 472.620573
3 1 499.627352
3 2 597.468776
3 3 624.901673
3 4 718.859201
3 5 840.223134
3 6 959.687945
3 7 1079.371059
3 8 1196.829700
3 9 1311.223281
3 10 1423.001089
3 11 1534.105891
3 12 1646.822243
3 13 1759.547008
3 14 1871.305821
3 15 1982.255772
3 16 2093.579155
3 17 2206.350090
3 18 2319.697630
3 19 2433.267998
3 20 2546.756017
3 21 2660.310357
3 22 2774.358710
3 23 2888.657488
3 24 3003.346144
3 25 3118.092920
3 26 3232.889196
3 27 3347.753938
3 28 3462.549475
3 29 3577.349339
3 30 3691.797745
3 31 3805.622629
3 32 3916.209707
3 33 4031.808832
3 34 4147.455057
3 35 4263.009327
3 36 4378.583587
3 37 4494.055363
3 38 4609.503326
3 39 4724.885671
3 40 4840.174559
3 41 4955.407024
3 42 5070.490550
3 43 5185.515280
3 44 5300.399490
3 45 5415.196522
