# GYRE 8.1 JCD GL6 w_osc=25 w_ctr=20 n_freq=2500 200-5500uHz ; MODE-A 1.0Msun TAMS
l n_pg freq_uHz
0 1 202.993227
0 2 320.630767
0 3 423.627340
0 4 528.951305
0 5 634.468607
0 6 742.338222
0 7 849.749749
0 8 958.264532
0 9 1064.885349
0 10 1168.999804
0 11 1270.476442
0 12 1371.563196
0 13 1474.259880
0 14 1576.849774
0 15 1678.506570
0 16 1779.442156
0 17 1880.964361
0 18 1983.879855
0 19 2087.235474
0 20 2190.738855
0 21 2294.157152
0 22 2397.713729
0 23 2501.773693
0 24 2606.078748
0 25 2710.726578
0 26 2815.410180
0 27 2920.134412
0 28 3024.945009
0 29 3129.675604
0 30 3234.354279
0 31 3338.567077
0 32 3441.316813
0 33 3544.370631
0 34 3649.978735
0 35 3755.646572
0 36 3861.233857
0 37 3966.840374
0 38 4072.384431
0 39 4177.892630
0 40 4283.373069
0 41 4388.745614
0 42 4494.077966
0 43 4599.282153
0 44 4704.423103
0 45 4809.466572
0 46 4914.404511
0 47 5019.279335
0 48 5124.040884
0 49 5228.771359
0 50 5333.441904
0 51 5438.107993
1 -4 215.207874
1 -3 232.808959
1 -2 281.403338
1 -1 339.639914
1 1 368.561261
1 2 454.459094
1 3 505.078296
1 4 572.062500
1 5 679.478435
1 6 788.362995
1 7 896.843056
1 8 1004.711178
1 9 1110.814267
1 10 1213.348204
1 11 1314.670065
1 12 1416.543746
1 13 1519.569097
1 14 1622.235563
1 15 1723.502731
1 16 1824.974273
1 17 1927.395081
1 18 2030.883421
1 19 2134.745240
1 20 2238.388963
1 21 2342.225161
1 22 2446.244222
1 23 2550.724975
1 24 2655.528166
1 25 2760.417875
1 26 2865.452788
1 27 2970.413601
1 28 3075.463226
1 29 3180.410765
1 30 3285.089325
1 31 3389.127643
1 32 3490.452966
1 33 3596.274331
1 34 3702.058692
1 35 3807.838840
1 36 3913.599140
1 37 4019.279504
1 38 4124.966017
1 39 4230.549800
1 40 4336.100706
1 41 4441.547577
1 42 4546.892092
1 43 4652.165313
1 44 4757.306170
1 45 4862.387638
1 46 4967.342379
1 47 5072.222162
1 48 5177.028910
1 49 5281.763936
1 50 5386.497317
1 51 5491.197869
2 -8 208.793598
2 -7 226.612198
2 -6 247.272183
2 -5 270.844578
2 -4 296.950249
2 -3 323.551912
2 -2 364.897455
2 -1 403.093859
2 0 439.323208
2 1 511.445658
2 2 552.401913
2 3 621.726272
2 4 724.933714
2 5 733.151877
2 6 839.948629
2 7 949.090609
2 8 1056.144727
2 9 1160.822613
2 10 1262.520411
2 11 1363.741079
2 12 1466.538380
2 13 1569.371465
2 14 1671.410976
2 15 1772.589223
2 16 1874.362343
2 17 1977.542749
2 18 2081.223096
2 19 2185.111268
2 20 2288.876039
2 21 2392.797811
2 22 2497.203372
2 23 2601.861167
2 24 2706.872314
2 25 2811.902251
2 26 2916.978636
2 27 3022.119625
2 28 3127.176392
2 29 3232.170428
2 30 3336.686002
2 31 3439.771412
2 32 3543.002710
2 33 3648.869893
2 34 3754.781667
2 35 3860.599371
2 36 3966.424181
2 37 4072.172584
2 38 4177.873850
2 39 4283.534800
2 40 4389.076281
2 41 4494.566228
2 42 4599.917325
2 43 4705.194606
2 44 4810.365420
2 45 4915.420982
2 46 5020.405684
2 47 5125.269299
2 48 5230.094494
2 49 5334.854242
2 50 5439.602451
3 -12 204.967298
3 -11 217.593808
3 -10 232.276391
3 -9 249.339213
3 -8 269.217663
3 -7 291.288149
3 -6 312.042455
3 -5 327.874410
3 -4 355.598382
3 -3 395.575062
3 -2 433.917595
3 -1 452.550041
3 0 529.249780
3 1 549.473649
3 2 644.834995
3 3 660.330728
3 4 771.185402
3 5 805.555585
3 6 880.826506
3 7 990.110114
3 8 1097.213487
3 9 1200.794938
3 10 1302.683816
3 11 1404.762965
3 12 1508.219875
3 13 1611.310556
3 14 1713.041267
3 15 1814.790646
3 16 1917.388709
3 17 2021.197165
3 18 2125.377905
3 19 2229.399547
3 20 2333.582369
3 21 2437.916013
3 22 2542.752200
3 23 2647.884481
3 24 2753.143773
3 25 2858.534222
3 26 2963.845205
3 27 3069.255620
3 28 3174.546751
3 29 3279.593324
3 30 3384.014616
3 31 3485.537355
3 32 3591.686370
3 33 3697.783080
3 34 3803.877056
3 35 3909.932305
3 36 4015.903657
3 37 4121.868158
3 38 4227.719006
3 39 4333.530893
3 40 4439.224663
3 41 4544.810628
3 42 4650.312538
3 43 4755.673974
3 44 4860.966715
3 45 4966.121889
3 46 5071.194524
3 47 5176.183164
3 48 5281.092356
3 49 5385.990812
3 50 5490.848429
