# GYRE 8.1 JCD GL6 w_osc=25 w_ctr=20 n_freq=2500 200-5500uHz ; MODE-A 1.0Msun zams
l n_pg freq_uHz
0 1 300.046337
0 2 448.149663
0 3 603.156852
0 4 771.926943
0 5 942.773880
0 6 1113.145173
0 7 1281.195823
0 8 1449.555805
0 9 1615.503476
0 10 1780.429652
0 11 1941.396442
0 12 2099.407031
0 13 2255.521841
0 14 2411.479776
0 15 2568.404006
0 16 2724.516894
0 17 2879.757990
0 18 3034.005772
0 19 3188.525877
0 20 3344.120651
0 21 3500.227199
0 22 3656.861935
0 23 3813.326098
0 24 3970.024216
0 25 4127.064047
0 26 4284.461462
0 27 4442.352975
0 28 4600.345496
0 29 4758.686726
0 30 4917.083382
0 31 5075.648734
0 32 5234.296355
0 33 5392.922298
1 1 326.193147
1 2 515.473187
1 3 684.171547
1 4 856.651326
1 5 1024.357512
1 6 1193.321635
1 7 1359.977210
1 8 1526.863596
1 9 1692.224742
1 10 1854.980275
1 11 2014.841366
1 12 2171.304597
1 13 2327.544577
1 14 2483.928236
1 15 2640.744428
1 16 2796.728743
1 17 2951.303038
1 18 3105.877596
1 19 3260.835328
1 20 3416.932012
1 21 3573.468274
1 22 3730.078113
1 23 3886.863156
1 24 4043.695690
1 25 4201.136411
1 26 4358.827831
1 27 4516.905440
1 28 4675.193695
1 29 4833.605492
1 30 4992.260633
1 31 5150.882915
1 32 5309.680904
1 33 5468.390527
2 -1 229.101611
2 0 304.519985
2 1 412.945700
2 2 583.902402
2 3 755.102571
2 4 926.730964
2 5 1095.825898
2 6 1263.390568
2 7 1430.902128
2 8 1596.587492
2 9 1761.590265
2 10 1922.803036
2 11 2081.373031
2 12 2237.617364
2 13 2393.847304
2 14 2550.990687
2 15 2707.528355
2 16 2863.299161
2 17 3017.871697
2 18 3172.743323
2 19 3328.564357
2 20 3485.005422
2 21 3642.001434
2 22 3798.796019
2 23 3955.855980
2 24 4113.167161
2 25 4270.891402
2 26 4429.069594
2 27 4587.362517
2 28 4746.002535
2 29 4904.666470
2 30 5063.526823
2 31 5222.425759
2 32 5381.327841
3 -2 218.700720
3 -1 273.596215
3 0 327.497881
3 1 469.548859
3 2 643.543996
3 3 818.203767
3 4 988.330625
3 5 1158.673530
3 6 1325.913879
3 7 1493.890055
3 8 1659.668048
3 9 1823.795947
3 10 1984.521507
3 11 2141.991968
3 12 2298.734351
3 13 2455.428530
3 14 2612.978313
3 15 2769.609104
3 16 2925.026042
3 17 3080.103894
3 18 3235.472963
3 19 3392.073212
3 20 3549.063018
3 21 3706.307448
3 22 3863.583671
3 23 4020.930987
3 24 4178.838860
3 25 4336.967865
3 26 4495.548432
3 27 4654.259351
3 28 4813.158296
3 29 4972.237035
3 30 5131.302512
3 31 5290.531160
3 32 5449.642795
